pair,missed_cov_plus_0.45_fn_over_nbond,missed_p99_plus_0.05_fn_over_nbond,spurious_cov_plus_0.45_fp_over_nnonbond,spurious_p99_plus_0.05_fp_over_nnonbond
Ag-As,0/53,0/53,0/7,0/7
Ag-B,1/9,0/9,0/186,0/186
Ag-Br,2/59,0/59,0/52,1/52
Ag-C,40/626,0/626,0/45060,25/45060
Ag-Cl,2/161,0/161,0/463,0/463
Ag-F,6/6,0/6,0/2371,0/2371
Ag-H,2/3,0/3,1/47445,1/47445
Ag-I,2/24,0/24,0/19,0/19
Ag-N,61/1623,0/1623,0/3021,7/3021
Ag-O,201/601,0/601,0/3028,48/3028
Ag-P,1/910,5/910,0/210,0/210
Ag-S,10/408,0/408,0/379,0/379
Ag-Se,0/45,0/45,0/3,0/3
Ag-Si,0/6,0/6,0/55,0/55
Au-As,0/30,1/30,0/7,0/7
Au-B,1/42,0/42,0/305,0/305
Au-Br,0/276,2/276,0/112,0/112
Au-C,0/2621,0/2621,1/82830,0/82830
Au-Cl,5/1662,12/1662,0/1157,0/1157
Au-D,0/0,,0/10,
Au-F,0/9,0/9,0/4107,0/4107
Au-H,0/1,0/1,0/92294,0/92294
Au-I,0/132,2/132,0/92,0/92
Au-N,6/1031,6/1031,0/5234,0/5234
Au-O,3/161,2/161,0/3125,0/3125
Au-P,1/1549,5/1549,0/429,0/429
Au-S,6/687,7/687,0/684,0/684
Au-Se,0/62,0/62,0/19,0/19
Au-Si,0/12,0/12,0/151,0/151
Cd-B,0/0,,0/52,
Cd-Br,0/201,0/201,0/46,0/46
Cd-C,4/53,0/53,0/36526,140/36526
Cd-Cl,0/442,1/442,0/260,0/260
Cd-F,0/1,0/1,0/220,0/220
Cd-H,0/2,0/2,8/39741,0/39741
Cd-I,1/351,2/351,0/11,0/11
Cd-N,96/4096,30/4096,0/4179,0/4179
Cd-O,316/2859,0/2859,0/3590,8/3590
Cd-P,0/17,0/17,0/78,0/78
Cd-S,6/708,5/708,0/574,2/574
Cd-Se,0/40,0/40,0/9,0/9
Cd-Si,0/4,0/4,0/69,0/69
Co-As,0/36,1/36,1/14,1/14
Co-B,0/198,2/198,1/527,1/527
Co-Br,0/83,0/83,0/156,0/156
Co-C,0/3963,11/3963,78/68985,3/68985
Co-Cl,0/369,4/369,0/908,0/908
Co-D,0/0,,0/1,
Co-F,0/4,0/4,0/2185,0/2185
Co-H,0/81,0/81,4/90143,3/90143
Co-I,0/140,0/140,0/62,0/62
Co-N,0/7930,36/7930,2/3225,0/3225
Co-O,2/2179,15/2179,0/7857,0/7857
Co-P,0/1359,2/1359,6/223,1/223
Co-S,0/765,2/765,3/440,0/440
Co-Se,0/33,0/33,0/18,0/18
Co-Si,0/72,0/72,4/108,1/108
Cr-As,0/20,0/20,0/6,0/6
Cr-B,0/40,0/40,9/114,9/114
Cr-Br,0/12,0/12,0/18,0/18
Cr-C,0/10829,30/10829,36/29960,8/29960
Cr-Cl,0/155,2/155,2/173,0/173
Cr-D,0/0,,0/12,
Cr-F,0/2,0/2,0/377,0/377
Cr-H,0/34,0/34,6/45994,6/45994
Cr-I,0/23,0/23,0/8,0/8
Cr-N,0/1022,4/1022,0/1202,0/1202
Cr-O,0/268,0/268,0/6993,0/6993
Cr-P,0/507,0/507,2/173,0/173
Cr-S,0/94,0/94,3/156,0/156
Cr-Se,0/10,0/10,0/6,0/6
Cr-Si,0/16,0/16,11/371,2/371
Cu-As,0/20,0/20,0/0,0/0
Cu-B,1/26,1/26,14/500,15/500
Cu-Br,0/302,1/302,0/121,0/121
Cu-C,34/1070,0/1070,2/105260,42/105260
Cu-Cl,2/494,2/494,0/1321,0/1321
Cu-D,0/0,,0/6,
Cu-F,6/14,0/14,0/5413,1/5413
Cu-H,0/43,0/43,1/110171,9/110171
Cu-I,0/287,0/287,0/82,0/82
Cu-N,46/4655,42/4655,0/5141,0/5141
Cu-O,92/710,0/710,0/3836,20/3836
Cu-P,0/2544,7/2544,4/567,0/567
Cu-S,5/919,9/919,0/486,0/486
Cu-Se,2/71,0/71,0/4,0/4
Cu-Si,0/15,0/15,8/132,0/132
Fe-As,0/18,0/18,0/4,0/4
Fe-B,0/118,0/118,41/708,28/708
Fe-Br,0/202,2/202,0/80,0/80
Fe-C,0/11973,94/11973,115/114579,14/114579
Fe-Cl,0/1043,4/1043,1/993,0/993
Fe-D,0/0,,0/7,
Fe-F,0/6,0/6,2/3241,0/3241
Fe-H,0/296,3/296,54/148290,3/148290
Fe-I,0/95,0/95,0/43,0/43
Fe-N,0/7590,17/7590,20/5232,0/5232
Fe-O,0/1557,7/1557,18/8914,0/8914
Fe-P,0/2545,4/2545,10/416,0/416
Fe-S,0/651,3/651,8/946,1/946
Fe-Se,0/24,0/24,0/61,0/61
Fe-Si,0/210,1/210,132/741,8/741
Hf-As,0/4,0/4,5/5,2/5
Hf-B,0/13,0/13,5/48,4/48
Hf-Br,0/8,0/8,0/16,0/16
Hf-C,0/2295,0/2295,147/13841,70/13841
Hf-Cl,0/357,1/357,0/69,0/69
Hf-D,0/0,,0/12,
Hf-F,0/13,0/13,2/204,0/204
Hf-H,0/6,0/6,8/21151,2/21151
Hf-I,0/20,0/20,0/3,0/3
Hf-N,0/860,3/860,3/188,0/188
Hf-O,0/369,0/369,0/136,0/136
Hf-P,0/56,1/56,19/45,8/45
Hf-S,0/39,0/39,1/11,1/11
Hf-Se,0/4,0/4,0/0,0/0
Hf-Si,0/20,0/20,73/295,6/295
Hg-As,0/2,0/2,0/0,0/0
Hg-B,4/7,0/7,0/70,0/70
Hg-Br,1/266,0/266,0/30,0/30
Hg-C,9/263,0/263,0/19608,29/19608
Hg-Cl,4/465,0/465,0/132,0/132
Hg-F,2/2,0/2,0/230,0/230
Hg-H,0/0,,2/21186,
Hg-I,0/275,0/275,0/8,0/8
Hg-N,483/1202,0/1202,0/1879,10/1879
Hg-O,474/530,0/530,0/1071,18/1071
Hg-P,7/93,0/93,0/81,2/81
Hg-S,60/597,0/597,0/225,16/225
Hg-Se,0/74,0/74,0/8,2/8
Hg-Si,0/13,0/13,0/104,0/104
Hg-Te,0/0,,0/1,
Ir-As,0/10,0/10,0/4,0/4
Ir-B,0/153,0/153,13/698,10/698
Ir-Br,0/95,0/95,0/99,0/99
Ir-C,0/13575,32/13575,36/117217,4/117217
Ir-Cl,0/1738,3/1738,1/2040,0/2040
Ir-D,0/0,,0/58,
Ir-F,0/8,0/8,0/7521,0/7521
Ir-H,0/752,2/752,24/144039,13/144039
Ir-I,0/216,0/216,0/42,0/42
Ir-N,0/5300,20/5300,1/4547,0/4547
Ir-O,0/1199,2/1199,2/4877,0/4877
Ir-P,0/2716,9/2716,6/661,0/661
Ir-S,0/373,3/373,2/645,0/645
Ir-Se,0/35,0/35,0/8,0/8
Ir-Si,0/126,0/126,3/82,0/82
La-B,0/3,0/3,4/7,3/7
La-Br,0/6,0/6,0/0,0/0
La-C,0/257,0/257,35/1955,12/1955
La-Cl,0/22,0/22,0/10,0/10
La-F,0/0,,0/45,
La-H,0/8,0/8,9/2893,0/2893
La-I,0/24,0/24,0/6,0/6
La-N,0/216,0/216,89/225,0/225
La-O,0/423,0/423,0/200,0/200
La-P,0/2,0/2,2/10,0/10
La-S,0/12,0/12,1/15,0/15
La-Se,0/4,0/4,0/0,0/0
La-Si,0/0,,7/15,
Mn-As,0/1,0/1,1/6,0/6
Mn-B,0/47,1/47,35/231,22/231
Mn-Br,0/224,1/224,0/219,0/219
Mn-C,0/5851,44/5851,131/36553,3/36553
