IDs,bucket,metal,ox,n_atoms,cov_c,dat_c,si,het,err,stage,exc
ABEJAS,cyclometalated_CN_etc,Rh,3,83,2,0,0,I1P2,ArgumentError,fix_equivalent_Os,ArgumentError
ANEBIF,M_Si,Ir,3,72,0,0,1,Br1P2,ArgumentError,F_untraced,ArgumentError
ANECIG,M_Si,Ir,3,78,0,0,1,O1P2,ArgumentError,F_untraced,ArgumentError
ANECOM,cyclometalated_CN_etc,Ir,3,76,1,0,1,Cl1P2,ArgumentError,F_untraced,ArgumentError
APUGIC,cyclometalated_CN_etc,Ir,3,77,2,0,0,N3P1,ArgumentError,fix_equivalent_Os,ArgumentError
ATOSUY,haptic_eta,Ru,2,84,1,5,0,N1P1,AttributeError,F_untraced,AttributeError
AXEQUP,haptic_eta,Re,1,51,1,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
AXEREA,haptic_eta,Re,3,57,2,7,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
AYOXER,haptic_eta,Os,4,72,1,4,0,P2,ArgumentError,fix_equivalent_Os,ArgumentError
AYOXIV,haptic_eta,Os,2,71,1,4,0,Cl1P2,ArgumentError,fix_equivalent_Os,ArgumentError
BEGFOL,no_MC,Cu,3,82,0,0,0,Cl2P1,AttributeError,F_untraced,AttributeError
BENPAL,cyclometalated_CN_etc,Mo,4,22,2,5,0,N1O2,KekulizeException,fix_equivalent_Os,KekulizeException
BOCZAU,cyclometalated_CN_etc,W,4,66,1,0,0,Cl2P3,ArgumentError,F_untraced,ArgumentError
BOLDOW,no_MC,Ni,2,75,0,0,0,Cl1N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
BOQTIL,no_MC,Hg,2,69,0,0,0,Cl3P1,ArgumentError,F_untraced,ArgumentError
BOQTOR,no_MC,Hg,2,69,0,0,0,Br1Cl2P1,ArgumentError,F_untraced,ArgumentError
BOQTUX,no_MC,Hg,2,69,0,0,0,Br3P1,ArgumentError,F_untraced,ArgumentError
BOQVAF,no_MC,Hg,2,69,0,0,0,Br2I1P1,ArgumentError,F_untraced,ArgumentError
BUNFEW,no_MC,Zr,4,77,0,0,0,N4P2,ArgumentError,fix_equivalent_Os,ArgumentError
CAJPUY,cyclometalated_CN_etc,Zr,4,78,1,0,0,Cl1N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
CASWIC,no_MC,Ni,0,42,0,0,0,N3O1,AttributeError,F_untraced,AttributeError
CAWSAU,cyclometalated_CN_etc,Mo,2,64,1,2,0,N3,AttributeError,F_untraced,AttributeError
CAWYUX,other_MC,Mn,1,67,0,2,0,N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
CEDMED,haptic_eta,Mo,0,56,1,8,0,,AttributeError,F_untraced,AttributeError
CEJBEZ,haptic_eta,Rh,3,75,1,4,0,Cl2P1,ArgumentError,fix_equivalent_Os,ArgumentError
CIGJIN,no_MC,Zn,2,78,0,0,0,N3O3,KekulizeException,fix_equivalent_Os,KekulizeException
CODXID,cyclometalated_CN_etc,Ni,2,83,1,0,0,N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
COFWUP,other_MC,Ni,0,67,0,2,0,Cl1P1,AttributeError,F_untraced,AttributeError
DACPOO,no_MC,Ni,2,49,0,0,0,N4,KekulizeException,fix_equivalent_Os,KekulizeException
DAJDAT,cyclometalated_CN_etc,Mn,1,47,1,4,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
DAJSAJ,other_MC,Ir,1,63,0,4,0,N1P1,ArgumentError,fix_equivalent_Os,ArgumentError
DALLIN,haptic_eta,Mn,1,58,1,8,0,,AttributeError,F_untraced,AttributeError
DAVQIA,haptic_eta,Ru,2,77,1,4,0,Cl1P2,ArgumentError,fix_equivalent_Os,ArgumentError
DIGMIS,cyclometalated_CN_etc,Pd,2,72,1,0,0,O1P2,ArgumentError,F_untraced,ArgumentError
DIVVEM,no_MC,W,6,85,0,0,0,N4P1,ArgumentError,fix_equivalent_Os,ArgumentError
DIVVIQ,no_MC,Mo,6,73,0,0,0,N4P1,ArgumentError,fix_equivalent_Os,ArgumentError
DIVVOW,no_MC,W,6,73,0,0,0,N4P1,ArgumentError,fix_equivalent_Os,ArgumentError
DOGGEM,no_MC,Zr,4,84,0,0,0,As1N3,ArgumentError,fix_equivalent_Os,ArgumentError
DOGGIQ,no_MC,Zr,4,85,0,0,0,As1N3,ArgumentError,fix_equivalent_Os,ArgumentError
DORHEY,haptic_eta,Fe,2,62,1,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
DOTMOQ,no_MC,Ni,2,65,0,0,0,N4,ArgumentError,fix_equivalent_Os,ArgumentError
DUGSIH,other_MC,Mo,4,18,2,4,0,Cl2,KekulizeException,fix_equivalent_Os,KekulizeException
ECOTAR,cyclometalated_CN_etc,Rh,1,57,1,3,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
ECOTEV,cyclometalated_CN_etc,Rh,1,63,1,3,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
EDOZAA,no_MC,Ni,2,65,0,0,0,Cl1P3,ArgumentError,F_untraced,ArgumentError
EFOCEH,M_Si,Rh,3,67,0,0,1,Cl1P3,ArgumentError,F_untraced,ArgumentError
EFOCOR,M_Si,Rh,1,78,0,0,1,P4,ArgumentError,F_untraced,ArgumentError
EGAYAM,no_MC,Co,3,60,0,0,0,N2O2S2,AttributeError,F_untraced,AttributeError
EHAZUI,no_MC,Ni,4,37,0,0,0,N2S2,AttributeError,F_untraced,AttributeError
ETOHAY,cyclometalated_CN_etc,Pd,2,75,1,0,0,Cl1P2,ArgumentError,fix_equivalent_Os,ArgumentError
ETORIQ,no_MC,Ni,2,77,0,0,0,N2O2,AttributeError,F_untraced,AttributeError
ETUSIV,cyclometalated_CN_etc,Hf,4,83,2,0,0,N2P2,ArgumentError,fix_equivalent_Os,ArgumentError
EWEXUZ,haptic_eta,Ir,3,75,2,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
EXEZUE,no_MC,Ag,1,76,0,0,0,N1P1,AttributeError,F_untraced,AttributeError
FACHOH,haptic_eta,Rh,3,54,2,5,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
FAHJAA,haptic_eta,Os,2,61,0,6,0,Cl1P1,AttributeError,F_untraced,AttributeError
FESKET,haptic_eta,Ti,4,57,2,8,0,As2,ArgumentError,fix_equivalent_Os,ArgumentError
FIGKUC,no_MC,Zr,4,77,0,0,0,As2I2N2,ArgumentError,fix_equivalent_Os,ArgumentError
FIGLAJ,no_MC,Ti,4,77,0,0,0,As2Cl2N2,ArgumentError,fix_equivalent_Os,ArgumentError
FOCNER,haptic_eta,Fe,2,73,1,6,1,,ArgumentError,fix_equivalent_Os,ArgumentError
FOFDOT,haptic_eta,Mo,4,56,3,8,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
FOJSOO,cyclometalated_CN_etc,Fe,2,51,1,0,0,N4O1,ArgumentError,F_untraced,ArgumentError
FORSEK,haptic_eta,Mn,1,55,1,5,0,H1P1,ArgumentError,F_untraced,ArgumentError
GABSEI,cyclometalated_CN_etc,Pd,2,72,1,0,0,N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GENTUO,haptic_eta,Mo,4,71,1,4,0,O1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GENYAB,no_MC,Pd,2,61,0,0,0,Cl1N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GENYIJ,no_MC,Ni,2,61,0,0,0,Cl1N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GENYOP,no_MC,Ni,2,61,0,0,0,Br1N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GIJZAA,cyclometalated_CN_etc,Ni,2,85,1,0,0,N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GINQID,cyclometalated_CN_etc,Ta,5,73,3,0,0,N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GIPTUU,haptic_eta,Zr,4,45,2,8,0,Cl2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GIPWAD,haptic_eta,Zr,4,47,2,8,0,Cl1O1P1,ArgumentError,fix_equivalent_Os,ArgumentError
GIPWOR,haptic_eta,Zr,4,49,2,8,0,N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GIRCOC,cyclometalated_CN_etc,Pt,4,42,1,0,0,Cl2S1,KekulizeException,F_untraced,KekulizeException
GIXSAH,haptic_eta,Zr,4,79,2,8,0,Cl2,ArgumentError,fix_equivalent_Os,ArgumentError
GIZFUQ,other_MC,Rh,1,74,0,1,0,N1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GOGBAF,no_MC,Fe,4,81,0,0,0,N6,AttributeError,F_untraced,AttributeError
GUXPAS,no_MC,Ni,2,72,0,0,0,N1O1P2,ArgumentError,fix_equivalent_Os,ArgumentError
GUXPIA,no_MC,Ni,2,72,0,0,0,N1P2S1,ArgumentError,fix_equivalent_Os,ArgumentError
GUXVEC,no_MC,Ni,2,76,0,0,0,O1P3,ArgumentError,F_untraced,ArgumentError
GUZMAR,no_MC,Ti,4,57,0,0,0,Cl2N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GUZMEV,no_MC,Zr,4,57,0,0,0,Cl2N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GUZMIZ,no_MC,Hf,4,57,0,0,0,Cl2N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GUZMOF,no_MC,Zr,4,85,0,0,0,N4P1,ArgumentError,fix_equivalent_Os,ArgumentError
GUZNAS,no_MC,Hf,4,69,0,0,0,I2N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
GUZNIA,no_MC,Hf,4,65,0,0,0,Cl2N2P1,ArgumentError,fix_equivalent_Os,ArgumentError
HAJLAG,haptic_eta,Rh,3,59,2,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
HAXLOH,cyclometalated_CN_etc,Co,3,47,1,0,0,N2O2S1,AttributeError,F_untraced,AttributeError
HERKAQ,haptic_eta,Rh,3,55,2,3,0,I1P1,ArgumentError,fix_equivalent_Os,ArgumentError
HERQEA,cyclometalated_CN_etc,Rh,3,55,2,2,0,I1P1,ArgumentError,fix_equivalent_Os,ArgumentError
HEYYER,cyclometalated_CN_etc,Pd,2,78,1,0,0,Cl1P2,ArgumentError,fix_equivalent_Os,ArgumentError
HEZTUB,other_MC,Cr,0,36,0,6,0,,AttributeError,F_untraced,AttributeError
HINLOF,haptic_eta,Rh,1,51,1,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
HINLUL,haptic_eta,Rh,1,67,1,6,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
HINMAS,haptic_eta,Rh,1,47,1,5,0,P1,ArgumentError,fix_equivalent_Os,ArgumentError
HINMIA,haptic_eta,Rh,3,47,1,4,0,I2P1,ArgumentError,fix_equivalent_Os,ArgumentError
HINMUM,haptic_eta,Rh,3,50,2,4,0,I1P1,ArgumentError,fix_equivalent_Os,ArgumentError
HINNAT,haptic_eta,Rh,3,57,2,4,0,Cl1P1,ArgumentError,fix_equivalent_Os,ArgumentError
