IDs,pair,both_parsed,connectivity_match,atoms_a,atoms_b,edges_a,edges_b
ABAFOZ,ILP / CSD,1,1,45,45,52,52
ABAFOZ,ILP / NBO(DFT),1,1,45,45,52,52
ABAFOZ,ILP / Hückel(DFT),1,1,45,45,52,52
ABAFOZ,CSD / NBO(DFT),1,1,45,45,52,52
ABAFOZ,CSD / Hückel(DFT),1,1,45,45,52,52
ABAFOZ,NBO(DFT) / Hückel(DFT),1,1,45,45,52,52
ABAFUF,ILP / CSD,1,1,23,23,25,25
ABAFUF,ILP / NBO(DFT),1,1,23,23,25,25
ABAFUF,ILP / Hückel(DFT),1,1,23,23,25,25
ABAFUF,CSD / NBO(DFT),1,1,23,23,25,25
ABAFUF,CSD / Hückel(DFT),1,1,23,23,25,25
ABAFUF,NBO(DFT) / Hückel(DFT),1,1,23,23,25,25
ABAGAM,ILP / CSD,1,1,39,39,45,45
ABAGAM,ILP / NBO(DFT),1,1,39,39,45,45
ABAGAM,ILP / Hückel(DFT),1,1,39,39,45,45
ABAGAM,CSD / NBO(DFT),1,1,39,39,45,45
ABAGAM,CSD / Hückel(DFT),1,1,39,39,45,45
ABAGAM,NBO(DFT) / Hückel(DFT),1,1,39,39,45,45
ABAJAP,ILP / CSD,1,1,31,31,37,37
ABAJAP,ILP / NBO(DFT),1,1,31,31,37,37
ABAJAP,ILP / Hückel(DFT),1,1,31,31,37,37
ABAJAP,CSD / NBO(DFT),1,1,31,31,37,37
ABAJAP,CSD / Hückel(DFT),1,1,31,31,37,37
ABAJAP,NBO(DFT) / Hückel(DFT),1,1,31,31,37,37
ABAJET,ILP / CSD,1,1,31,31,37,37
ABAJET,ILP / NBO(DFT),1,1,31,31,37,37
ABAJET,ILP / Hückel(DFT),1,1,31,31,37,37
ABAJET,CSD / NBO(DFT),1,1,31,31,37,37
ABAJET,CSD / Hückel(DFT),1,1,31,31,37,37
ABAJET,NBO(DFT) / Hückel(DFT),1,1,31,31,37,37
ABAJIZ,ILP / CSD,1,1,18,18,19,19
ABAJIZ,ILP / NBO(DFT),1,1,18,18,19,19
ABAJIZ,ILP / Hückel(DFT),1,1,18,18,19,19
ABAJIZ,CSD / NBO(DFT),1,1,18,18,19,19
ABAJIZ,CSD / Hückel(DFT),1,1,18,18,19,19
ABAJIZ,NBO(DFT) / Hückel(DFT),1,1,18,18,19,19
ABAJOF,ILP / CSD,1,1,18,18,19,19
ABAJOF,ILP / NBO(DFT),1,1,18,18,19,19
ABAJOF,ILP / Hückel(DFT),1,1,18,18,19,19
ABAJOF,CSD / NBO(DFT),1,1,18,18,19,19
ABAJOF,CSD / Hückel(DFT),1,1,18,18,19,19
ABAJOF,NBO(DFT) / Hückel(DFT),1,1,18,18,19,19
ABAKAS,ILP / CSD,1,1,18,18,19,19
ABAKAS,ILP / NBO(DFT),1,1,18,18,19,19
ABAKAS,ILP / Hückel(DFT),1,1,18,18,19,19
ABAKAS,CSD / NBO(DFT),1,1,18,18,19,19
ABAKAS,CSD / Hückel(DFT),1,1,18,18,19,19
ABAKAS,NBO(DFT) / Hückel(DFT),1,1,18,18,19,19
ABAKIA,ILP / CSD,1,1,31,31,34,34
ABAKIA,ILP / NBO(DFT),1,1,31,31,34,34
ABAKIA,ILP / Hückel(DFT),1,1,31,31,34,34
ABAKIA,CSD / NBO(DFT),1,1,31,31,34,34
ABAKIA,CSD / Hückel(DFT),1,1,31,31,34,34
ABAKIA,NBO(DFT) / Hückel(DFT),1,1,31,31,34,34
ABAKOG,ILP / CSD,1,1,23,23,24,24
ABAKOG,ILP / NBO(DFT),1,1,23,23,24,24
ABAKOG,ILP / Hückel(DFT),1,1,23,23,24,24
ABAKOG,CSD / NBO(DFT),1,1,23,23,24,24
ABAKOG,CSD / Hückel(DFT),1,1,23,23,24,24
ABAKOG,NBO(DFT) / Hückel(DFT),1,1,23,23,24,24
ABANUN,ILP / CSD,1,1,13,13,13,13
ABANUN,ILP / NBO(DFT),1,1,13,13,13,13
ABANUN,ILP / Hückel(DFT),1,1,13,13,13,13
ABANUN,CSD / NBO(DFT),1,1,13,13,13,13
ABANUN,CSD / Hückel(DFT),1,1,13,13,13,13
ABANUN,NBO(DFT) / Hückel(DFT),1,1,13,13,13,13
ABAPAV,ILP / CSD,1,1,12,12,11,11
ABAPAV,ILP / NBO(DFT),1,1,12,12,11,11
ABAPAV,ILP / Hückel(DFT),1,1,12,12,11,11
ABAPAV,CSD / NBO(DFT),1,1,12,12,11,11
ABAPAV,CSD / Hückel(DFT),1,1,12,12,11,11
ABAPAV,NBO(DFT) / Hückel(DFT),1,1,12,12,11,11
ABAQUQ,ILP / CSD,1,1,35,35,40,40
ABAQUQ,ILP / NBO(DFT),0,,35,,40,
ABAQUQ,ILP / Hückel(DFT),1,1,35,35,40,40
ABAQUQ,CSD / NBO(DFT),0,,35,,40,
ABAQUQ,CSD / Hückel(DFT),1,1,35,35,40,40
ABAQUQ,NBO(DFT) / Hückel(DFT),0,,,35,,40
ABARAX,ILP / CSD,1,0,40,40,45,48
ABARAX,ILP / NBO(DFT),1,1,40,40,45,45
ABARAX,ILP / Hückel(DFT),0,,40,,45,
ABARAX,CSD / NBO(DFT),1,0,40,40,48,45
ABARAX,CSD / Hückel(DFT),0,,40,,48,
ABARAX,NBO(DFT) / Hückel(DFT),0,,40,,45,
ABARUT,ILP / CSD,1,1,25,25,28,28
ABARUT,ILP / NBO(DFT),0,,25,,28,
ABARUT,ILP / Hückel(DFT),1,0,25,25,28,27
ABARUT,CSD / NBO(DFT),0,,25,,28,
ABARUT,CSD / Hückel(DFT),1,0,25,25,28,27
ABARUT,NBO(DFT) / Hückel(DFT),0,,,25,,27
ABASAA,ILP / CSD,1,1,24,24,27,27
ABASAA,ILP / NBO(DFT),1,1,24,24,27,27
ABASAA,ILP / Hückel(DFT),1,1,24,24,27,27
ABASAA,CSD / NBO(DFT),1,1,24,24,27,27
ABASAA,CSD / Hückel(DFT),1,1,24,24,27,27
ABASAA,NBO(DFT) / Hückel(DFT),1,1,24,24,27,27
ABASEC,ILP / CSD,1,1,20,20,22,22
ABASEC,ILP / NBO(DFT),1,1,20,20,22,22
ABASEC,ILP / Hückel(DFT),1,1,20,20,22,22
ABASEC,CSD / NBO(DFT),1,1,20,20,22,22
ABASEC,CSD / Hückel(DFT),1,1,20,20,22,22
ABASEC,NBO(DFT) / Hückel(DFT),1,1,20,20,22,22
ABASEE,ILP / CSD,1,1,27,27,30,30
ABASEE,ILP / NBO(DFT),1,1,27,27,30,30
ABASEE,ILP / Hückel(DFT),1,1,27,27,30,30
ABASEE,CSD / NBO(DFT),1,1,27,27,30,30
ABASEE,CSD / Hückel(DFT),1,1,27,27,30,30
ABASEE,NBO(DFT) / Hückel(DFT),1,1,27,27,30,30
ABATEC,ILP / CSD,0,,42,,48,
ABATEC,ILP / NBO(DFT),0,,42,,48,
ABATEC,ILP / Hückel(DFT),1,0,42,41,48,46
ABATEC,CSD / NBO(DFT),0,,,,,
ABATEC,CSD / Hückel(DFT),0,,,41,,46
ABATEC,NBO(DFT) / Hückel(DFT),0,,,41,,46
ABATED,ILP / CSD,1,1,31,31,39,39
ABATED,ILP / NBO(DFT),1,1,31,31,39,39
ABATED,ILP / Hückel(DFT),1,1,31,31,39,39
ABATED,CSD / NBO(DFT),1,1,31,31,39,39
ABATED,CSD / Hückel(DFT),1,1,31,31,39,39
ABATED,NBO(DFT) / Hückel(DFT),1,1,31,31,39,39
ABATUS,ILP / CSD,1,0,42,43,45,47
ABATUS,ILP / NBO(DFT),1,0,42,42,45,46
ABATUS,ILP / Hückel(DFT),1,1,42,42,45,45
ABATUS,CSD / NBO(DFT),1,0,43,42,47,46
ABATUS,CSD / Hückel(DFT),1,0,43,42,47,45
ABATUS,NBO(DFT) / Hückel(DFT),1,0,42,42,46,45
ABATUT,ILP / CSD,1,1,35,35,40,40
ABATUT,ILP / NBO(DFT),0,,35,,40,
ABATUT,ILP / Hückel(DFT),1,1,35,35,40,40
ABATUT,CSD / NBO(DFT),0,,35,,40,
ABATUT,CSD / Hückel(DFT),1,1,35,35,40,40
ABATUT,NBO(DFT) / Hückel(DFT),0,,,35,,40
ABAVAA,ILP / CSD,1,1,24,24,25,25
ABAVAA,ILP / NBO(DFT),1,1,24,24,25,25
ABAVAA,ILP / Hückel(DFT),1,1,24,24,25,25
ABAVAA,CSD / NBO(DFT),1,1,24,24,25,25
ABAVAA,CSD / Hückel(DFT),1,1,24,24,25,25
ABAVAA,NBO(DFT) / Hückel(DFT),1,1,24,24,25,25
ABAXIK,ILP / CSD,1,1,18,18,20,20
ABAXIK,ILP / NBO(DFT),1,1,18,18,20,20
ABAXIK,ILP / Hückel(DFT),1,1,18,18,20,20
ABAXIK,CSD / NBO(DFT),1,1,18,18,20,20
ABAXIK,CSD / Hückel(DFT),1,1,18,18,20,20
ABAXIK,NBO(DFT) / Hückel(DFT),1,1,18,18,20,20
ABAXOS,ILP / CSD,1,1,29,29,30,30
ABAXOS,ILP / NBO(DFT),0,,29,,30,
ABAXOS,ILP / Hückel(DFT),1,1,29,29,30,30
ABAXOS,CSD / NBO(DFT),0,,29,,30,
ABAXOS,CSD / Hückel(DFT),1,1,29,29,30,30
ABAXOS,NBO(DFT) / Hückel(DFT),0,,,29,,30
ABAXUX,ILP / CSD,1,1,29,29,35,35
ABAXUX,ILP / NBO(DFT),1,1,29,29,35,35
ABAXUX,ILP / Hückel(DFT),1,1,29,29,35,35
ABAXUX,CSD / NBO(DFT),1,1,29,29,35,35
ABAXUX,CSD / Hückel(DFT),1,1,29,29,35,35
ABAXUX,NBO(DFT) / Hückel(DFT),1,1,29,29,35,35
