metal,donor,estimated_missing_contacts,complex_count,within_cutoff_but_pruned,within_0.05_A_above,within_0.10_A_above,more_than_0.20_A_above,fraction_within_0.10_A_of_cutoff_percent,median_delta_A
Pd,N,100,83,0,88,98,2,98.00,0.0212
Re,N,88,80,0,44,68,2,77.27,0.0511
Pt,N,84,67,0,50,75,1,89.29,0.0314
W,C,74,45,3,23,41,28,59.46,0.0783
Pt,C,70,50,4,24,26,36,42.86,0.5384
Mo,O,57,55,0,31,48,1,84.21,0.0459
V,N,48,47,0,37,46,0,95.83,0.0138
Zr,C,47,34,1,31,31,15,68.09,0.0161
Ir,C,46,28,6,31,32,8,82.61,0.0262
Ti,N,45,40,0,18,31,2,68.89,0.0635
Re,O,42,42,0,25,32,0,76.19,0.0298
Re,C,41,27,1,14,16,15,41.46,0.1398
Mo,N,36,28,0,26,36,0,100.00,0.0223
Ru,C,33,27,4,12,15,13,57.58,0.0593
Ni,C,32,29,5,0,0,27,15.62,0.7198
W,N,32,29,0,21,26,0,81.25,0.0338
Rh,C,27,19,4,10,14,8,66.67,0.0391
Pd,C,27,23,11,5,7,7,66.67,0.0308
Cu,C,26,21,2,0,0,22,7.69,0.4793
Re,S,24,18,0,17,21,0,87.50,0.0218
Au,C,24,18,4,10,16,3,83.33,0.0245
Pt,O,24,15,0,16,24,0,100.00,0.0426
Ru,N,23,20,0,10,18,3,78.26,0.0539
Nb,C,21,21,0,0,0,21,0.00,0.5480
Ti,O,20,18,0,4,11,4,55.00,0.0967
Zr,N,18,17,0,10,15,0,83.33,0.0370
Mn,C,18,13,2,10,13,2,83.33,0.0258
Fe,C,17,17,2,2,3,10,29.41,0.5529
Cr,C,16,12,0,9,10,3,62.50,0.0495
W,O,15,12,0,12,14,0,93.33,0.0204
V,O,15,15,0,5,9,2,60.00,0.0684
Mo,C,15,12,0,0,1,13,6.67,0.6618
Os,N,14,10,0,12,14,0,100.00,0.0190
Pt,S,14,11,0,10,14,0,100.00,0.0364
Ti,C,13,8,0,7,12,1,92.31,0.0375
Pt,Cl,12,12,0,12,12,0,100.00,0.0087
Tc,N,11,9,0,9,10,0,90.91,0.0107
Hf,C,11,6,0,9,9,2,81.82,0.0090
Ru,O,10,10,0,5,9,0,90.00,0.0672
Re,Cl,9,9,0,5,7,0,77.78,0.0139
Co,C,9,8,4,0,0,5,44.44,0.8950
Hf,N,9,6,0,3,6,0,66.67,0.0570
Zr,O,9,6,0,5,7,1,77.78,0.0481
Ta,N,9,8,0,4,7,0,77.78,0.0619
Pt,P,8,8,0,8,8,0,100.00,0.0209
Ta,O,8,8,0,4,7,1,87.50,0.0660
Hg,C,8,6,8,0,0,0,100.00,-0.6760
Zn,C,8,6,7,0,1,0,100.00,-0.4181
Pd,O,7,7,0,4,6,0,85.71,0.0240
Ta,C,6,6,1,0,0,5,16.67,0.6015
Os,C,5,4,1,3,3,1,80.00,0.0016
Ni,S,5,4,0,1,4,0,80.00,0.0589
Nb,N,5,5,0,2,3,0,60.00,0.0530
Re,Se,4,2,0,4,4,0,100.00,0.0098
V,C,4,3,0,3,3,1,75.00,0.0254
Cr,N,4,4,0,3,3,0,75.00,0.0250
Rh,N,3,3,0,3,3,0,100.00,0.0298
Tc,O,3,3,0,0,0,2,0.00,0.2083
Pd,S,3,3,0,2,2,1,66.67,0.0238
Hf,O,3,2,0,1,1,0,33.33,0.1197
Ru,P,3,3,0,3,3,0,100.00,0.0210
Pd,P,2,2,0,2,2,0,100.00,0.0220
Rh,O,2,2,0,1,1,1,50.00,0.5526
Ir,Cl,2,2,0,2,2,0,100.00,0.0062
Sc,O,2,1,0,2,2,0,100.00,0.0473
Sc,N,2,2,0,1,2,0,100.00,0.0633
Zn,N,2,1,0,0,2,0,100.00,0.0534
Re,P,2,1,0,1,2,0,100.00,0.0752
Ti,Cl,2,2,0,0,1,0,50.00,0.1493
Re,Br,2,2,0,2,2,0,100.00,0.0184
Ir,N,2,2,0,0,1,0,50.00,0.1373
Os,Si,2,1,0,2,2,0,100.00,0.0225
Ru,Cl,2,2,0,2,2,0,100.00,0.0184
Ir,O,2,2,0,1,2,0,100.00,0.0921
Zn,Cl,2,1,0,2,2,0,100.00,0.0240
Ir,P,1,1,0,1,1,0,100.00,0.0084
Ir,Br,1,1,0,1,1,0,100.00,0.0140
Co,O,1,1,0,0,0,0,0.00,0.1433
Y,O,1,1,0,1,1,0,100.00,0.0101
Re,Si,1,1,0,1,1,0,100.00,0.0060
Ni,N,1,1,0,0,0,1,0.00,0.3025
Au,P,1,1,0,1,1,0,100.00,0.0076
Pt,Br,1,1,0,1,1,0,100.00,0.0425
Mn,P,1,1,0,1,1,0,100.00,0.0000
Os,O,1,1,0,0,0,1,0.00,0.2403
Co,N,1,1,0,1,1,0,100.00,0.0109
Rh,P,1,1,0,1,1,0,100.00,0.0214
W,P,1,1,0,0,1,0,100.00,0.0576
Sc,C,1,1,0,1,1,0,100.00,0.0049
Os,Cl,1,1,0,1,1,0,100.00,0.0128
Mo,Cl,1,1,0,1,1,0,100.00,0.0205
Fe,N,1,1,0,0,0,0,0.00,0.1376
Fe,O,1,1,0,1,1,0,100.00,0.0024
Ni,O,1,1,0,1,1,0,100.00,0.0365
Pd,Cl,1,1,0,0,1,0,100.00,0.0722
Rh,S,1,1,0,0,1,0,100.00,0.0823
