IDs,metal,donor,atom_id,distance_A,cutoff_A,delta_A,category
ABIQOR,Ti,N,5,2.55110,2.47800,0.07310,0.05_to_0.10_above
ABIQUX,Ti,N,5,2.59217,2.47800,0.11417,0.10_to_0.20_above
ACEKAU,Ni,C,6,3.21135,2.43500,0.77635,more_than_0.20_above
ACILAZ,Mo,O,43,2.44765,2.44400,0.00365,0_to_0.025_above
ACORAM,Re,S,2,2.66895,2.60300,0.06595,0.05_to_0.10_above
ACORAM,Re,S,3,2.67049,2.60300,0.06749,0.05_to_0.10_above
ACUJUG,V,N,18,2.45875,2.45000,0.00875,0_to_0.025_above
ACUKOB,V,N,2,2.45971,2.45000,0.00971,0_to_0.025_above
ADIJAZ,Pd,N,5,2.28648,2.27500,0.01148,0_to_0.025_above
ADUMAP,Pt,P,69,2.46779,2.45100,0.01679,0_to_0.025_above
ADUMET,Pt,P,69,2.46762,2.45100,0.01662,0_to_0.025_above
AFIGEB,Nb,C,10,3.03311,2.64000,0.39311,more_than_0.20_above
AFIZEV,W,O,3,2.56016,2.42000,0.14016,0.10_to_0.20_above
AFOZUQ,Pd,P,12,2.48000,2.45800,0.02200,0_to_0.025_above
AFUZIL,Re,O,11,2.34068,2.31200,0.02868,0.025_to_0.05_above
AGECEU,Re,N,2,2.41088,2.35200,0.05888,0.05_to_0.10_above
AHETIS,Mo,O,2,2.47444,2.44400,0.03044,0.025_to_0.05_above
AHETUE,Mo,O,33,2.46562,2.44400,0.02162,0_to_0.025_above
AKAJUT,Re,N,8,2.42991,2.35200,0.07791,0.05_to_0.10_above
AKEROX,Re,O,6,2.38785,2.31200,0.07585,0.05_to_0.10_above
AKERUD,Re,O,6,2.37453,2.31200,0.06253,0.05_to_0.10_above
AKUTIL,Ir,C,16,3.25423,2.36200,0.89223,more_than_0.20_above
ALIBEC,Re,O,2,2.33528,2.31200,0.02328,0_to_0.025_above
ALOJEQ,V,N,2,2.49665,2.45000,0.04665,0.025_to_0.05_above
AMIPOC,Ni,C,7,3.23261,2.43500,0.79761,more_than_0.20_above
APIZIJ,Re,O,4,2.44203,2.31200,0.13003,0.10_to_0.20_above
AQAHIL,Pt,C,14,2.36777,2.36600,0.00177,0_to_0.025_above
AQOBUF,Ir,P,3,2.51436,2.50600,0.00836,0_to_0.025_above
ARAFAC,V,N,5,2.45121,2.45000,0.00121,0_to_0.025_above
AREPUI,Pd,N,8,2.30205,2.27500,0.02705,0.025_to_0.05_above
AREQAP,Pd,N,3,2.28416,2.27500,0.00916,0_to_0.025_above
AREQET,Pd,N,3,2.29208,2.27500,0.01708,0_to_0.025_above
AROJUM,Re,N,7,2.38406,2.35200,0.03206,0.025_to_0.05_above
ARONEA,Ti,C,6,2.62084,2.59200,0.02884,0.025_to_0.05_above
ARONEA,Ti,C,7,2.62948,2.59200,0.03748,0.025_to_0.05_above
ARUVEP,Nb,C,15,3.00326,2.64000,0.36326,more_than_0.20_above
ASESOG,Rh,O,10,2.43748,2.43600,0.00148,0_to_0.025_above
AXAZII,Mo,O,5,2.50667,2.44400,0.06267,0.05_to_0.10_above
AXAZUU,Mo,O,6,2.48531,2.44400,0.04131,0.025_to_0.05_above
AXEBAG,Mo,O,3,2.46870,2.44400,0.02470,0_to_0.025_above
AXEJAP,Pd,N,67,2.30596,2.27500,0.03096,0.025_to_0.05_above
AXUSUH,Pt,N,2,2.29704,2.28600,0.01104,0_to_0.025_above
AXUTOC,Ir,Cl,78,2.59686,2.59100,0.00586,0_to_0.025_above
AYEFOA,Pt,C,79,3.40028,2.36600,1.03428,more_than_0.20_above
BACCAL,Ru,C,59,3.24066,2.39600,0.84466,more_than_0.20_above
BACCEP,Ru,C,30,3.27594,2.39600,0.87994,more_than_0.20_above
BACDER,Re,S,2,2.60318,2.60300,0.00018,0_to_0.025_above
BACDER,Re,S,4,2.60562,2.60300,0.00262,0_to_0.025_above
BACDER,Re,S,3,2.60886,2.60300,0.00586,0_to_0.025_above
BACWOT,Re,N,8,2.35852,2.35200,0.00652,0_to_0.025_above
BACWUZ,Re,N,5,2.37595,2.35200,0.02395,0_to_0.025_above
BACYUB,V,O,7,2.71975,2.41000,0.30975,more_than_0.20_above
BACZAI,V,O,6,2.47836,2.41000,0.06836,0.05_to_0.10_above
BACZEM,V,O,8,2.51593,2.41000,0.10593,0.10_to_0.20_above
BADHAS,Os,C,7,3.26650,2.39500,0.87150,more_than_0.20_above
BAMQOW,Zr,C,5,2.38952,2.71700,-0.32748,within_cutoff_but_pruned
BATPIX,V,O,27,2.48125,2.41000,0.07125,0.05_to_0.10_above
BEFMUX,Ti,O,5,2.37409,2.34500,0.02909,0.025_to_0.05_above
BEHHIF,Ta,O,6,2.43948,2.40700,0.03248,0.025_to_0.05_above
BENGOQ,Mo,N,5,2.58729,2.51800,0.06929,0.05_to_0.10_above
BERBEH,Pd,N,5,2.30670,2.27500,0.03170,0.025_to_0.05_above
