pair,direction,donor,edge_count,fraction_percent,complex_count
ILP / CSD,missing_from_ILP,C,1644,31.036,1086
ILP / CSD,missing_from_ILP,N,1617,30.527,1305
ILP / CSD,missing_from_ILP,O,1502,28.356,1171
ILP / CSD,missing_from_ILP,S,198,3.738,148
ILP / CSD,missing_from_ILP,Cl,83,1.567,77
ILP / CSD,missing_from_ILP,H,72,1.359,51
ILP / CSD,missing_from_ILP,P,72,1.359,68
ILP / CSD,missing_from_ILP,Si,37,0.699,33
ILP / CSD,missing_from_ILP,Se,24,0.453,16
ILP / CSD,missing_from_ILP,Br,16,0.302,15
ILP / CSD,missing_from_ILP,I,14,0.264,14
ILP / CSD,missing_from_ILP,As,9,0.170,8
ILP / CSD,missing_from_ILP,F,7,0.132,6
ILP / CSD,missing_from_ILP,B,2,0.038,2
ILP / CSD,extra_in_ILP,O,696,35.932,522
ILP / CSD,extra_in_ILP,C,670,34.590,460
ILP / CSD,extra_in_ILP,H,158,8.157,138
ILP / CSD,extra_in_ILP,B,145,7.486,126
ILP / CSD,extra_in_ILP,N,124,6.402,99
ILP / CSD,extra_in_ILP,S,94,4.853,76
ILP / CSD,extra_in_ILP,F,22,1.136,19
ILP / CSD,extra_in_ILP,P,16,0.826,14
ILP / CSD,extra_in_ILP,Cl,6,0.310,5
ILP / CSD,extra_in_ILP,Se,2,0.103,2
ILP / CSD,extra_in_ILP,As,2,0.103,2
ILP / CSD,extra_in_ILP,Br,1,0.052,1
ILP / CSD,extra_in_ILP,Si,1,0.052,1
ILP / NBO(DFT),missing_from_ILP,C,1781,48.595,1243
ILP / NBO(DFT),missing_from_ILP,N,796,21.719,664
ILP / NBO(DFT),missing_from_ILP,O,781,21.310,607
ILP / NBO(DFT),missing_from_ILP,S,72,1.965,60
ILP / NBO(DFT),missing_from_ILP,H,72,1.965,58
ILP / NBO(DFT),missing_from_ILP,P,50,1.364,41
ILP / NBO(DFT),missing_from_ILP,Cl,42,1.146,40
ILP / NBO(DFT),missing_from_ILP,Si,22,0.600,19
ILP / NBO(DFT),missing_from_ILP,B,21,0.573,19
ILP / NBO(DFT),missing_from_ILP,Se,19,0.518,11
ILP / NBO(DFT),missing_from_ILP,F,4,0.109,4
ILP / NBO(DFT),missing_from_ILP,Br,4,0.109,4
ILP / NBO(DFT),missing_from_ILP,As,1,0.027,1
ILP / NBO(DFT),extra_in_ILP,N,926,30.612,706
ILP / NBO(DFT),extra_in_ILP,C,863,28.529,564
ILP / NBO(DFT),extra_in_ILP,O,834,27.570,578
ILP / NBO(DFT),extra_in_ILP,S,229,7.570,168
ILP / NBO(DFT),extra_in_ILP,H,77,2.545,65
ILP / NBO(DFT),extra_in_ILP,P,57,1.884,51
ILP / NBO(DFT),extra_in_ILP,Se,19,0.628,14
ILP / NBO(DFT),extra_in_ILP,B,12,0.397,12
ILP / NBO(DFT),extra_in_ILP,As,4,0.132,2
ILP / NBO(DFT),extra_in_ILP,F,2,0.066,2
ILP / NBO(DFT),extra_in_ILP,Cl,1,0.033,1
ILP / NBO(DFT),extra_in_ILP,Br,1,0.033,1
ILP / Hückel(DFT),missing_from_ILP,C,2459,40.997,1798
ILP / Hückel(DFT),missing_from_ILP,N,1649,27.492,1296
ILP / Hückel(DFT),missing_from_ILP,O,1242,20.707,1002
ILP / Hückel(DFT),missing_from_ILP,S,283,4.718,241
ILP / Hückel(DFT),missing_from_ILP,P,209,3.484,169
ILP / Hückel(DFT),missing_from_ILP,Cl,56,0.934,53
ILP / Hückel(DFT),missing_from_ILP,Si,36,0.600,34
ILP / Hückel(DFT),missing_from_ILP,Se,18,0.300,11
ILP / Hückel(DFT),missing_from_ILP,Br,13,0.217,12
ILP / Hückel(DFT),missing_from_ILP,B,12,0.200,9
ILP / Hückel(DFT),missing_from_ILP,I,11,0.183,11
ILP / Hückel(DFT),missing_from_ILP,As,6,0.100,5
ILP / Hückel(DFT),missing_from_ILP,F,4,0.067,3
ILP / Hückel(DFT),extra_in_ILP,C,2321,43.440,910
ILP / Hückel(DFT),extra_in_ILP,N,979,18.323,645
ILP / Hückel(DFT),extra_in_ILP,O,846,15.834,524
ILP / Hückel(DFT),extra_in_ILP,H,586,10.968,421
ILP / Hückel(DFT),extra_in_ILP,S,277,5.184,217
ILP / Hückel(DFT),extra_in_ILP,B,99,1.853,90
ILP / Hückel(DFT),extra_in_ILP,P,88,1.647,76
ILP / Hückel(DFT),extra_in_ILP,Se,56,1.048,39
ILP / Hückel(DFT),extra_in_ILP,F,54,1.011,40
ILP / Hückel(DFT),extra_in_ILP,Cl,13,0.243,12
ILP / Hückel(DFT),extra_in_ILP,I,9,0.168,5
ILP / Hückel(DFT),extra_in_ILP,Br,6,0.112,5
ILP / Hückel(DFT),extra_in_ILP,As,5,0.094,4
ILP / Hückel(DFT),extra_in_ILP,Si,4,0.075,4
