pair,direction,metal,donor,edge_count,complex_count
ILP / CSD,extra_in_ILP,Zn,O,308,217
ILP / CSD,extra_in_ILP,Zn,C,178,116
ILP / CSD,extra_in_ILP,Ti,C,114,80
ILP / CSD,extra_in_ILP,Hg,O,93,61
ILP / CSD,extra_in_ILP,Zr,C,85,52
ILP / CSD,extra_in_ILP,Cd,O,77,59
ILP / CSD,extra_in_ILP,Cu,O,75,58
ILP / CSD,extra_in_ILP,Ag,O,69,63
ILP / CSD,extra_in_ILP,Cu,C,65,44
ILP / CSD,extra_in_ILP,Fe,H,39,31
ILP / CSD,extra_in_ILP,Ni,C,39,28
ILP / CSD,extra_in_ILP,Hg,N,37,27
ILP / CSD,extra_in_ILP,Ag,C,32,26
ILP / CSD,extra_in_ILP,Zn,S,32,21
ILP / CSD,extra_in_ILP,Y,C,30,22
ILP / CSD,extra_in_ILP,Ru,B,27,26
ILP / CSD,extra_in_ILP,Ni,H,22,20
ILP / CSD,extra_in_ILP,Zr,B,20,17
ILP / CSD,extra_in_ILP,Ag,N,19,16
ILP / CSD,extra_in_ILP,Hg,S,19,18
ILP / CSD,extra_in_ILP,Cr,H,17,13
ILP / CSD,extra_in_ILP,Hf,C,17,10
ILP / CSD,extra_in_ILP,Zn,N,16,12
ILP / CSD,extra_in_ILP,Fe,O,15,14
ILP / CSD,extra_in_ILP,Fe,B,14,13
ILP / CSD,extra_in_ILP,Ag,S,13,10
ILP / CSD,extra_in_ILP,Co,C,12,10
ILP / CSD,extra_in_ILP,Cu,H,12,9
ILP / CSD,extra_in_ILP,Cd,C,11,6
ILP / CSD,extra_in_ILP,Hg,C,11,9
ILP / CSD,extra_in_ILP,Mo,B,11,9
ILP / CSD,extra_in_ILP,Y,B,11,6
ILP / CSD,extra_in_ILP,Y,H,11,9
ILP / CSD,extra_in_ILP,Cu,N,10,9
ILP / CSD,extra_in_ILP,Pd,C,10,7
ILP / CSD,extra_in_ILP,Cu,B,9,9
ILP / CSD,extra_in_ILP,Fe,C,9,8
ILP / CSD,extra_in_ILP,Pt,C,9,8
ILP / CSD,extra_in_ILP,Cd,N,8,6
ILP / CSD,extra_in_ILP,Ni,N,8,7
ILP / CSD,extra_in_ILP,Pt,H,8,8
ILP / CSD,extra_in_ILP,Rh,H,8,8
ILP / CSD,extra_in_ILP,Pd,O,7,7
ILP / CSD,extra_in_ILP,Zn,B,7,4
ILP / CSD,extra_in_ILP,Cr,C,6,4
ILP / CSD,extra_in_ILP,Fe,N,6,6
ILP / CSD,extra_in_ILP,La,C,6,2
ILP / CSD,extra_in_ILP,Nb,C,6,4
ILP / CSD,extra_in_ILP,Ta,C,6,4
ILP / CSD,extra_in_ILP,Ti,S,6,6
ILP / CSD,extra_in_ILP,Zr,H,6,6
ILP / CSD,extra_in_ILP,Zr,P,6,4
ILP / CSD,extra_in_ILP,Cd,S,5,4
ILP / CSD,extra_in_ILP,Fe,F,5,2
ILP / CSD,extra_in_ILP,Ir,B,5,5
ILP / CSD,extra_in_ILP,Mn,B,5,5
ILP / CSD,extra_in_ILP,Mo,C,5,5
ILP / CSD,extra_in_ILP,Ni,O,5,5
ILP / CSD,extra_in_ILP,Ni,S,5,3
