IDs,pair,both_parsed,full_match,ligand_internal_match,metal_shell_match,mismatch_class
ABAFOZ,ILP / CSD,1,1,1,1,full_match
ABAFOZ,ILP / NBO(DFT),1,1,1,1,full_match
ABAFOZ,ILP / Hückel(DFT),1,1,1,1,full_match
ABAFOZ,CSD / NBO(DFT),1,1,1,1,full_match
ABAFOZ,CSD / Hückel(DFT),1,1,1,1,full_match
ABAFOZ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAFUF,ILP / CSD,1,1,1,1,full_match
ABAFUF,ILP / NBO(DFT),1,1,1,1,full_match
ABAFUF,ILP / Hückel(DFT),1,1,1,1,full_match
ABAFUF,CSD / NBO(DFT),1,1,1,1,full_match
ABAFUF,CSD / Hückel(DFT),1,1,1,1,full_match
ABAFUF,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAGAM,ILP / CSD,1,1,1,1,full_match
ABAGAM,ILP / NBO(DFT),1,1,1,1,full_match
ABAGAM,ILP / Hückel(DFT),1,1,1,1,full_match
ABAGAM,CSD / NBO(DFT),1,1,1,1,full_match
ABAGAM,CSD / Hückel(DFT),1,1,1,1,full_match
ABAGAM,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAJAP,ILP / CSD,1,1,1,1,full_match
ABAJAP,ILP / NBO(DFT),1,1,1,1,full_match
ABAJAP,ILP / Hückel(DFT),1,1,1,1,full_match
ABAJAP,CSD / NBO(DFT),1,1,1,1,full_match
ABAJAP,CSD / Hückel(DFT),1,1,1,1,full_match
ABAJAP,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAJET,ILP / CSD,1,1,1,1,full_match
ABAJET,ILP / NBO(DFT),1,1,1,1,full_match
ABAJET,ILP / Hückel(DFT),1,1,1,1,full_match
ABAJET,CSD / NBO(DFT),1,1,1,1,full_match
ABAJET,CSD / Hückel(DFT),1,1,1,1,full_match
ABAJET,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAJIZ,ILP / CSD,1,1,1,1,full_match
ABAJIZ,ILP / NBO(DFT),1,1,1,1,full_match
ABAJIZ,ILP / Hückel(DFT),1,1,1,1,full_match
ABAJIZ,CSD / NBO(DFT),1,1,1,1,full_match
ABAJIZ,CSD / Hückel(DFT),1,1,1,1,full_match
ABAJIZ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAJOF,ILP / CSD,1,1,1,1,full_match
ABAJOF,ILP / NBO(DFT),1,1,1,1,full_match
ABAJOF,ILP / Hückel(DFT),1,1,1,1,full_match
ABAJOF,CSD / NBO(DFT),1,1,1,1,full_match
ABAJOF,CSD / Hückel(DFT),1,1,1,1,full_match
ABAJOF,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAKAS,ILP / CSD,1,1,1,1,full_match
ABAKAS,ILP / NBO(DFT),1,1,1,1,full_match
ABAKAS,ILP / Hückel(DFT),1,1,1,1,full_match
ABAKAS,CSD / NBO(DFT),1,1,1,1,full_match
ABAKAS,CSD / Hückel(DFT),1,1,1,1,full_match
ABAKAS,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAKIA,ILP / CSD,1,1,1,1,full_match
ABAKIA,ILP / NBO(DFT),1,1,1,1,full_match
ABAKIA,ILP / Hückel(DFT),1,1,1,1,full_match
ABAKIA,CSD / NBO(DFT),1,1,1,1,full_match
ABAKIA,CSD / Hückel(DFT),1,1,1,1,full_match
ABAKIA,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAKOG,ILP / CSD,1,1,1,1,full_match
ABAKOG,ILP / NBO(DFT),1,1,1,1,full_match
ABAKOG,ILP / Hückel(DFT),1,1,1,1,full_match
ABAKOG,CSD / NBO(DFT),1,1,1,1,full_match
ABAKOG,CSD / Hückel(DFT),1,1,1,1,full_match
ABAKOG,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABANUN,ILP / CSD,1,1,1,1,full_match
ABANUN,ILP / NBO(DFT),1,1,1,1,full_match
ABANUN,ILP / Hückel(DFT),1,1,1,1,full_match
ABANUN,CSD / NBO(DFT),1,1,1,1,full_match
ABANUN,CSD / Hückel(DFT),1,1,1,1,full_match
ABANUN,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAPAV,ILP / CSD,1,1,1,1,full_match
ABAPAV,ILP / NBO(DFT),1,1,1,1,full_match
ABAPAV,ILP / Hückel(DFT),1,1,1,1,full_match
ABAPAV,CSD / NBO(DFT),1,1,1,1,full_match
ABAPAV,CSD / Hückel(DFT),1,1,1,1,full_match
ABAPAV,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAQUQ,ILP / CSD,1,1,1,1,full_match
ABAQUQ,ILP / NBO(DFT),0,,,,
ABAQUQ,ILP / Hückel(DFT),1,1,1,1,full_match
ABAQUQ,CSD / NBO(DFT),0,,,,
ABAQUQ,CSD / Hückel(DFT),1,1,1,1,full_match
ABAQUQ,NBO(DFT) / Hückel(DFT),0,,,,
ABARAX,ILP / CSD,1,0,1,0,metal_only
ABARAX,ILP / NBO(DFT),1,1,1,1,full_match
ABARAX,ILP / Hückel(DFT),0,,,,
ABARAX,CSD / NBO(DFT),1,0,1,0,metal_only
ABARAX,CSD / Hückel(DFT),0,,,,
ABARAX,NBO(DFT) / Hückel(DFT),0,,,,
ABARUT,ILP / CSD,1,1,1,1,full_match
ABARUT,ILP / NBO(DFT),0,,,,
ABARUT,ILP / Hückel(DFT),1,0,1,0,metal_only
ABARUT,CSD / NBO(DFT),0,,,,
ABARUT,CSD / Hückel(DFT),1,0,1,0,metal_only
ABARUT,NBO(DFT) / Hückel(DFT),0,,,,
ABASAA,ILP / CSD,1,1,1,1,full_match
ABASAA,ILP / NBO(DFT),1,1,1,1,full_match
ABASAA,ILP / Hückel(DFT),1,1,1,1,full_match
ABASAA,CSD / NBO(DFT),1,1,1,1,full_match
ABASAA,CSD / Hückel(DFT),1,1,1,1,full_match
ABASAA,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABASEC,ILP / CSD,1,1,1,1,full_match
ABASEC,ILP / NBO(DFT),1,1,1,1,full_match
ABASEC,ILP / Hückel(DFT),1,1,1,1,full_match
ABASEC,CSD / NBO(DFT),1,1,1,1,full_match
ABASEC,CSD / Hückel(DFT),1,1,1,1,full_match
ABASEC,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABASEE,ILP / CSD,1,1,1,1,full_match
ABASEE,ILP / NBO(DFT),1,1,1,1,full_match
ABASEE,ILP / Hückel(DFT),1,1,1,1,full_match
ABASEE,CSD / NBO(DFT),1,1,1,1,full_match
ABASEE,CSD / Hückel(DFT),1,1,1,1,full_match
ABASEE,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABATEC,ILP / CSD,0,,,,
ABATEC,ILP / NBO(DFT),0,,,,
ABATEC,ILP / Hückel(DFT),1,0,0,0,ligand_and_metal
ABATEC,CSD / NBO(DFT),0,,,,
ABATEC,CSD / Hückel(DFT),0,,,,
ABATEC,NBO(DFT) / Hückel(DFT),0,,,,
ABATED,ILP / CSD,1,1,1,1,full_match
ABATED,ILP / NBO(DFT),1,1,1,1,full_match
ABATED,ILP / Hückel(DFT),1,1,1,1,full_match
ABATED,CSD / NBO(DFT),1,1,1,1,full_match
ABATED,CSD / Hückel(DFT),1,1,1,1,full_match
ABATED,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABATUS,ILP / CSD,1,0,0,0,ligand_and_metal
ABATUS,ILP / NBO(DFT),1,0,1,0,metal_only
ABATUS,ILP / Hückel(DFT),1,1,1,1,full_match
ABATUS,CSD / NBO(DFT),1,0,0,0,ligand_and_metal
ABATUS,CSD / Hückel(DFT),1,0,0,0,ligand_and_metal
ABATUS,NBO(DFT) / Hückel(DFT),1,0,1,0,metal_only
ABATUT,ILP / CSD,1,1,1,1,full_match
ABATUT,ILP / NBO(DFT),0,,,,
ABATUT,ILP / Hückel(DFT),1,1,1,1,full_match
ABATUT,CSD / NBO(DFT),0,,,,
ABATUT,CSD / Hückel(DFT),1,1,1,1,full_match
ABATUT,NBO(DFT) / Hückel(DFT),0,,,,
ABAVAA,ILP / CSD,1,1,1,1,full_match
ABAVAA,ILP / NBO(DFT),1,1,1,1,full_match
ABAVAA,ILP / Hückel(DFT),1,1,1,1,full_match
ABAVAA,CSD / NBO(DFT),1,1,1,1,full_match
ABAVAA,CSD / Hückel(DFT),1,1,1,1,full_match
ABAVAA,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAXIK,ILP / CSD,1,1,1,1,full_match
ABAXIK,ILP / NBO(DFT),1,1,1,1,full_match
ABAXIK,ILP / Hückel(DFT),1,1,1,1,full_match
ABAXIK,CSD / NBO(DFT),1,1,1,1,full_match
ABAXIK,CSD / Hückel(DFT),1,1,1,1,full_match
ABAXIK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAXOS,ILP / CSD,1,1,1,1,full_match
ABAXOS,ILP / NBO(DFT),0,,,,
ABAXOS,ILP / Hückel(DFT),1,1,1,1,full_match
ABAXOS,CSD / NBO(DFT),0,,,,
ABAXOS,CSD / Hückel(DFT),1,1,1,1,full_match
ABAXOS,NBO(DFT) / Hückel(DFT),0,,,,
ABAXUX,ILP / CSD,1,1,1,1,full_match
ABAXUX,ILP / NBO(DFT),1,1,1,1,full_match
ABAXUX,ILP / Hückel(DFT),1,1,1,1,full_match
ABAXUX,CSD / NBO(DFT),1,1,1,1,full_match
ABAXUX,CSD / Hückel(DFT),1,1,1,1,full_match
ABAXUX,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAXUY,ILP / CSD,1,1,1,1,full_match
ABAXUY,ILP / NBO(DFT),0,,,,
ABAXUY,ILP / Hückel(DFT),1,1,1,1,full_match
ABAXUY,CSD / NBO(DFT),0,,,,
ABAXUY,CSD / Hückel(DFT),1,1,1,1,full_match
ABAXUY,NBO(DFT) / Hückel(DFT),0,,,,
ABAYUA,ILP / CSD,1,1,1,1,full_match
ABAYUA,ILP / NBO(DFT),0,,,,
ABAYUA,ILP / Hückel(DFT),1,1,1,1,full_match
ABAYUA,CSD / NBO(DFT),0,,,,
ABAYUA,CSD / Hückel(DFT),1,1,1,1,full_match
ABAYUA,NBO(DFT) / Hückel(DFT),0,,,,
ABAZAH,ILP / CSD,1,1,1,1,full_match
ABAZAH,ILP / NBO(DFT),0,,,,
ABAZAH,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZAH,CSD / NBO(DFT),0,,,,
ABAZAH,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZAH,NBO(DFT) / Hückel(DFT),0,,,,
ABAZEK,ILP / CSD,0,,,,
ABAZEK,ILP / NBO(DFT),1,1,1,1,full_match
ABAZEK,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZEK,CSD / NBO(DFT),0,,,,
ABAZEK,CSD / Hückel(DFT),0,,,,
ABAZEK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAZEL,ILP / CSD,1,1,1,1,full_match
