metal	id	charge	en	vn	label	filename
Cr	CUXBEC	+1	17	0	L₆	CUXBEC_charge_+1.xyz
Cr	HISPOR	+1	12	5	L₁X₅	HISPOR_charge_+1.xyz
Cr	HISQAE	+1	12	5	L₁X₅	HISQAE_charge_+1.xyz
Cr	HISQEI	+1	12	5	L₁X₅	HISQEI_charge_+1.xyz
Cr	HISQUY	+1	12	5	L₁X₅	HISQUY_charge_+1.xyz
Cr	HISRIN	+1	12	5	L₁X₅	HISRIN_charge_+1.xyz
Cr	IPEMEV	+1	14	3	L₃X₃	IPEMEV_charge_+1.xyz
Cr	IPEMIZ	+1	14	3	L₃X₃	IPEMIZ_charge_+1.xyz
Cr	JELSIC	+1	18	5	L₄X₅	JELSIC_charge_+1.xyz
Cr	JEVRAD	+1	14	3	L₃X₃	JEVRAD_charge_+1.xyz
Cr	KEHRIY	-1	18	1	L₅X₁	KEHRIY_charge_-1.xyz
Cr	KIBNAK	+1	13	4	L₂X₄	KIBNAK_charge_+1.xyz
Cr	KIRKUR	+1	18	1	L₆X₁	KIRKUR_charge_+1.xyz
Cr	LUSTOK	+1	14	5	L₂X₅	LUSTOK_charge_+1.xyz
Cr	MIBROH	+1	17	0	L₆	MIBROH_charge_+1.xyz
Cr	NUCZUI	-1	17	0	L₅	NUCZUI_charge_-1.xyz
Cr	PEQMUW	+1	17	0	L₆	PEQMUW_charge_+1.xyz
Cr	PHCXCR	-1	18	1	L₅X₁	PHCXCR_charge_-1.xyz
Cr	QIDZUY	+1	17	0	L₆	QIDZUY_charge_+1.xyz
Cr	QIRWIZ	+1	14	1	L₄X₁	QIRWIZ_charge_+1.xyz
Cr	QIRWOF	+1	14	1	L₄X₁	QIRWOF_charge_+1.xyz
Cr	QIXGIQ	-1	18	1	L₅X₁	QIXGIQ_charge_-1.xyz
Cr	REXQUI	-1	18	1	L₅X₁	REXQUI_charge_-1.xyz
Cr	RIQQEN	-1	18	1	L₅X₁	RIQQEN_charge_-1.xyz
Cr	SOVQUP	+1	17	0	L₆	SOVQUP_charge_+1.xyz
Cr	TAQZEQ	+1	18	3	L₅X₃	TAQZEQ_charge_+1.xyz
Cr	TUTJOH	-1	18	1	L₅X₁	TUTJOH_charge_-1.xyz
Cr	VUNVEF	+1	18	1	L₆X₁	VUNVEF_charge_+1.xyz
Cr	WAFMAR	-1	18	1	L₅X₁	WAFMAR_charge_-1.xyz
Cr	WALPOO	-1	18	1	L₅X₁	WALPOO_charge_-1.xyz
Cr	WAWJOW	+1	12	5	L₁X₅	WAWJOW_charge_+1.xyz
Cr	WAWKEN	+1	12	5	L₁X₅	WAWKEN_charge_+1.xyz
Cr	WOKQIX	-1	18	1	L₅X₁	WOKQIX_charge_-1.xyz
Cr	XATCEB	+1	17	0	L₆	XATCEB_charge_+1.xyz
Cr	XATCIF	+1	17	0	L₆	XATCIF_charge_+1.xyz
Cr	XATCOL	+1	17	0	L₆	XATCOL_charge_+1.xyz
Cr	XATCUR	+1	17	0	L₆	XATCUR_charge_+1.xyz
Cr	XOZKEC	+1	15	2	L₄X₂	XOZKEC_charge_+1.xyz
Cr	YAWYUR	+1	18	1	L₆X₁	YAWYUR_charge_+1.xyz
Cr	YUWVIW	+1	16	1	L₅X₁	YUWVIW_charge_+1.xyz
Cr	ZATWOI	+1	14	1	L₄X₁	ZATWOI_charge_+1.xyz
Mo	ABIPEI	+1	16	1	L₅X₁	ABIPEI_charge_+1.xyz
Mo	ACUTAU	-1	18	1	L₅X₁	ACUTAU_charge_-1.xyz
Mo	ADUHUD	+1	18	1	L₆X₁	ADUHUD_charge_+1.xyz
Mo	ADUJEP	+1	18	3	L₅X₃	ADUJEP_charge_+1.xyz
Mo	AHETIS	+1	13	6	L₁X₆	AHETIS_charge_+1.xyz
Mo	AHETOY	+1	13	6	L₁X₆	AHETOY_charge_+1.xyz
Mo	AHETUE	+1	13	6	L₁X₆	AHETUE_charge_+1.xyz
Mo	AHEVAM	+1	13	6	L₁X₆	AHEVAM_charge_+1.xyz
Mo	ATIWUW	+1	18	3	L₅X₃	ATIWUW_charge_+1.xyz
Mo	ATIXAD	+1	18	3	L₅X₃	ATIXAD_charge_+1.xyz
Mo	BABMUO	-1	18	3	L₄X₃	BABMUO_charge_-1.xyz
Mo	BAGDUJ	+1	18	3	L₅X₃	BAGDUJ_charge_+1.xyz
Mo	BENFEF	+1	18	5	L₄X₅	BENFEF_charge_+1.xyz
Mo	BOFTOH	-1	16	5	L₂X₅	BOFTOH_charge_-1.xyz
Mo	BORBAL	+1	16	1	L₅X₁	BORBAL_charge_+1.xyz
W	ALOBIM	-1	18	1	L₅X₁	ALOBIM_charge_-1.xyz
W	AMBZCW	-1	18	1	L₅X₁	AMBZCW_charge_-1.xyz
W	BAKCEV	+1	16	1	L₅X₁	BAKCEV_charge_+1.xyz
W	BAKFIC	+1	18	3	L₅X₃	BAKFIC_charge_+1.xyz
W	BENQIW	-1	18	1	L₅X₁	BENQIW_charge_-1.xyz
W	BENQOC	-1	18	1	L₅X₁	BENQOC_charge_-1.xyz
W	BIQNOE	-1	18	1	L₅X₁	BIQNOE_charge_-1.xyz
W	BISHUJ	-1	18	1	L₅X₁	BISHUJ_charge_-1.xyz
W	BIXKUO	-1	14	3	L₂X₃	BIXKUO_charge_-1.xyz
W	BOVDUN	+1	16	3	L₄X₃	BOVDUN_charge_+1.xyz
W	CELPIU	+1	18	1	L₆X₁	CELPIU_charge_+1.xyz
W	CEQQOH	+1	18	1	L₆X₁	CEQQOH_charge_+1.xyz
W	CUMYOY	-1	16	3	L₃X₃	CUMYOY_charge_-1.xyz
W	DACTOQ	+1	16	1	L₅X₁	DACTOQ_charge_+1.xyz
W	DIBHUS	+1	16	1	L₅X₁	DIBHUS_charge_+1.xyz
