IDs,status,error_type,n_atoms,q_complex,ox_ilp,q_huckel_sum,q_ilp_sum,sum_match,n_lig,n_charge_wrong,n_charge_right,n_unmatched,n_huckel_cause,n_both_fail,n_downstream,n_both_ok,detail
ABEJAS,ok,ArgumentError,83,0,3,-3,-3,1,3,0,3,0,0,0,0,3,I:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C35P2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C6:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
AFUXOP,ok,IndexError,33,0,4,-4,-4,1,3,0,3,0,0,0,0,3,C4NS2Se2:H=-2/ILP=-2 acH=1 acILP=None huckel_ok_ac_ok | C5:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C5:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
AGEBIA,ok,AttributeError,75,0,2,-2,-2,1,2,0,2,0,0,0,0,2,C24N4O2S2:H=-2/ILP=-2 acH=1 acILP=None huckel_ok_ac_ok | C12N2:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok
AGEVAJ,ok,AttributeError,65,0,2,-2,-2,1,2,0,2,0,0,0,0,2,C26N3P2S2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C4:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
AHEXAM,ok,AttributeError,73,0,2,-2,-2,1,1,0,1,0,0,0,0,1,C31N4O5S2:H=-2/ILP=-2 acH=1 acILP=None huckel_ok_ac_ok
AJIDOM,ok,AttributeError,81,0,2,-2,-2,1,2,0,2,0,0,0,0,2,C35N5O4S2:H=-2/ILP=-2 acH=1 acILP=None huckel_ok_ac_ok | O:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok
ANEBIF,ok,ArgumentError,72,0,3,0,-2,0,2,1,1,0,0,0,0,1,Br:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C31SiP2:H=1/ILP=-1 acH=1 acILP=True huckel_wrong_ac_ok_anyway
ANECIG,ok,ArgumentError,78,0,3,0,-2,0,2,1,1,0,0,0,0,1,C31SiP2:H=1/ILP=-1 acH=1 acILP=True huckel_wrong_ac_ok_anyway | C2O2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
ANECOM,ok,ArgumentError,76,0,3,-1,-3,0,3,1,2,0,0,0,0,2,Cl:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C31SiP2:H=1/ILP=-1 acH=1 acILP=True huckel_wrong_ac_ok_anyway | C2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
APUGIC,ok,ArgumentError,77,0,3,-3,-3,1,3,0,3,0,0,0,0,3,C17N2F3P:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C11NF2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C11NF2:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok
ASAFIK,ok,ArgumentError,77,1,2,-3,-1,0,4,0,2,2,0,0,0,2,CSe:H=-1/ILP=? acH=1 | C20PSe:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok | Cl:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C14P:H=-1/ILP=? acH=1
ASAGAD,ok,ArgumentError,73,1,2,-3,-1,0,4,0,2,2,0,0,0,2,CSe:H=-1/ILP=? acH=1 | Cl:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C16F3PS:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok | C14P:H=-1/ILP=? acH=1
ATOSUY,ok,AttributeError,84,1,2,-3,-1,0,3,1,2,0,0,0,0,2,C11N2P:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok | C10:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | C15:H=-2/ILP=0 acH=1 acILP=True huckel_wrong_ac_ok_anyway
AXEQUP,ok,ArgumentError,51,0,1,-1,-1,1,3,0,3,0,0,0,0,3,C21NP:H=-1/ILP=-1 acH=1 acILP=None huckel_ok_ac_ok | CO:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok | CO:H=0/ILP=0 acH=1 acILP=None huckel_ok_ac_ok
