IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
ACUJUG,A,3,1,1,1,V,C21 H19 N4 O4 V1,49,N O O O O,N N O O O O,3,5
ACUKOB,A,3,1,1,1,V,C26 H21 N4 O4 V1,56,N O O O O,N N O O O O,3,5
AQAHIL,A,3,1,1,1,Pt,C13 H25 Pt1 S1 1+,40,C C C C S,C C C C C S,4,2
BUVMAG,A,3,1,1,1,Co,C14 H5 Co1 F8 O1,29,C C C C C C,C C C C C C C C,1,3
CEFCIA,A,3,1,1,1,Rh,C28 H43 Cl1 N1 O1 Rh1,75,C C Cl H,C C Cl,3,1
CUQBOH,A,3,1,1,1,Pd,C34 H30 Br1 N2 O3 P1 Pd1,72,Br O P,Br C O P,4,2
DEGZUN,A,3,1,1,1,Ni,C31 H43 Cl1 N4 Ni1,80,Cl N N,C Cl N N,0,2
DOHLIV,A,3,1,1,1,W,C18 H20 O1 Se2 W1,42,C C C C C O Se Se,C C C C C C O Se Se,4,6
DULSEI,A,3,1,1,1,Ni,C21 H27 F8 N2 Ni1 P1,60,C C P,C C C C P,0,2
ECIGUT,A,3,1,1,1,Pt,C22 H31 Pt1 1+,54,C C C,C C C C C C C,4,2
EQIBOX,A,3,1,1,1,Mo,C10 H16 Mo1 N2 O6 S1,36,N O O O O O,N N O O O O O,2,6
FAJDAW,A,3,1,1,1,Rh,C33 H45 N2 Rh1,81,C C C C C C,C C C C C C C C,1,3
GOPQIL,A,3,1,1,1,Pd,C13 H17 Cl1 N2 O1 Pd1,35,C Cl N,C Cl N N,4,2
GULQIO,A,3,1,1,1,V,C12 H10 N3 O6 V1,32,N N O O O O,N N O O O O O,3,5
HEWCUI,A,3,1,1,1,V,C28 H31 N5 O9 V1 1+,74,N N N O O O,N N N N O O O,3,5
HEZVUF,A,3,1,1,1,Ru,C17 H24 O4 Ru1 Si2,48,C C C C C C C,C C C C C C C C,0,2
HUSTIA,A,3,1,1,1,W,C15 H15 N3 O6 W1,40,N O O O O O,N O O O O O O,4,6
IBAZAP,A,3,1,1,1,Ir,C18 H29 Cl1 Ir1 N6 1+,55,C C C C C C Cl,C C C C C C C Cl,1,3
JETMAX,A,3,1,1,1,Pt,C13 H20 N3 O1 Pt1 1+,38,C C C C N,C C C C C N,4,2
JILPEZ,A,3,1,1,1,Pt,C13 H20 Cl2 Pt1,36,C C Cl Cl,C C C C C C Cl Cl,4,2
JUPZUR,A,3,1,1,1,Pt,C11 H12 F4 O2 Pt1,30,C C C C O,C C C C C O,4,2
KIRWEP,A,3,1,1,1,Fe,C17 H24 Fe1 O4 Si2,48,C C C C C C C,C C C C C C C C,0,2
