IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ABAKAS,0,ok,0.0306,30,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])C#N)C([H])=C([H])N1C([H])([H])[H]
ABAZAH,0,ok,0.0786,72,1,,c12O[Ir+3]34(c5c(-c6c([H])c([H])c([H])c([H])n->36)c(F)c([H])c(F)c5[H])(c3c(-c5c([H])c([H])c([H])c([H])n->45)c(F)c([H])c(F)c3[H])<-N(=C(c1c([H])c([H])c([H])c2[H])[H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H]
ABENRE,-1,ok,0.0155,15,1,,Br[Re+3](Br)(Br)(Br)(<-N#[O+])OC(C([H])([H])[H])([H])[H]
ABIKUS,0,ok,0.0218,27,1,,[Mo+6](Cl)(=O)(Cl)=O.S(C([H])([H])C(SC([H])([H])C([H])([H])[H])([H])[H])C([H])([H])C([H])([H])[H]
ABOXIB,0,ok,0.0559,52,1,,[W+2]12(I)(<-n3n([B-](n4n->1c(C([H])([H])[H])c([H])c4C([H])([H])[H])(n1n->2c(C([H])([H])[H])c([H])c1C([H])([H])[H])[H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ACASOO,0,ok,0.3120,79,1,,c12c([H])c([H])c3n1[Ni+4]14n5c(c([H])c([H])c5=C(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c(n51)C1=c5c(c(N([H])[H])c(n54)=C2c2c([H])c([H])c([H])c([H])c2[H])C(=O)c2c1c([H])c([H])c([H])c2[H])=C3c1c([H])c([H])c([H])c([H])c1[H]
ACIFOJ,-1,ok,0.0457,45,1,,[Au+]12(<-S=C3SC([H])([H])c4c(c([H])c([H])c([H])c4[H])C([H])([H])SC3=S->1)SC1=C(S2)SC([H])([H])c2c(c([H])c([H])c([H])c2[H])C([H])([H])S1
ACNCFE,0,ok,0.0496,29,1,,C12([H])C([H])(c3c4c(c([H])c([H])c3[H])c([H])c([H])c([H])c41)[Fe+2]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ACOWIA,0,ok,0.0775,75,1,,[Pd+2](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-N(=O)[O-])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-N(=O)[O-]
ACUDUA,0,ok,0.0558,53,1,,[Zn+2]12(<-n3c(-c4n1c(C([H])([H])[H])c(C([H])([H])[H])n4)c([H])c([H])c([H])c3[H])n1c(-c3n->2c([H])c([H])c([H])c3[H])nc(C([H])([H])[H])c1C([H])([H])[H].N([N+]#N)=NN=[N-]
ACUKOB,0,ok,0.0825,56,1,,[V+3]12(Oc3c4nc([H])c([H])c([H])c4c([H])c([H])c3[H])(=O)<-O=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])=C(C([H])([H])[H])N->1=NC(=O->2)c1c([H])c([H])c([H])c([H])c1N([H])[H]
ACUYIJ,0,ok,0.0446,43,1,,[V+5]12(<-N(=C([H])c3c(c([H])c([H])c([N+]([O-])=O)c3[H])O1)N=C(c1c(F)c(F)c(F)c(F)c1F)O2)(=O)(OC([H])([H])[H])<-O(C([H])([H])[H])[H]
