IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ABAXOS,0,ok,0.0593,79,1,,[Os+4]1([H])([H])(<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N([H])c2c(c([H])c([H])c([H])c2[H])N1[H]
ABEJAS,0,ok,0.0858,83,1,,I[Rh+3]12(<-P(C(c3c(C1([H])[H])c(C(P->2(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
ABICAQ,0,ok,0.0660,64,1,,[Rh+]123(Br)(<-C4N(C5=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O5)C([H])=C([H])N4c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])<-C4([H])=C->1([H])C([H])([H])C([H])([H])C->2([H])=C->3([H])C([H])([H])C4([H])[H]
ABOBOK,0,ok,0.0289,31,1,,[V+5]12(SC(=NN->1=C(c1n->2c(C([H])([H])[H])c([H])c([H])c1[H])[H])N([H])C([H])([H])C([H])([H])[H])(=O)=O
ACADCO,1,ok,0.1483,54,1,,[Co+3]12(<-O=C(C(=C(O1)C([H])([H])[H])[H])C([H])([H])[H])(<-O=C(C(=C(O2)C([H])([H])[H])[H])C([H])([H])[H])(<-n1c2c(nc([H])n(C([H])([H])[H])c2=[N+]([H])[H])n(C([H])([H])[H])c1[H])<-N(=O)[O-]
ACEKAU,0,ok,0.0519,62,1,,[Ni]1(<-P(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C(P->1(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])<-N#Cc1c([H])c([H])c([H])c([H])c1[H]
ACIVAL,0,ok,0.0592,68,1,,[Ag+]12(<-P(c3c([H])c([H])c([H])c([H])c3C(=O)N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])OC->1(=O->2)C([H])([H])[H]
ACOSAP,0,ok,0.0803,64,1,,[Pd+2]12(Cl)<-N([H])(c3c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])c3n->1c(-c1c2c([H])c([H])c([H])c1C([H])([H])[H])c([H])c([H])c3[H]
ACTBPD,0,ok,0.0756,36,1,,[Pd+2]12(<-S=C(N(C1([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])<-O=C(C(=C(O2)C([H])([H])[H])[H])C([H])([H])[H]
ACUGOV,0,ok,0.0693,52,1,,c1([H])c([H])c([H])c([H])c2-c3n4->[La+3]567(<-n12)(<-n1c(-c4nc(-c2c([H])c([H])c([H])c([H])n2)n3)c([H])c([H])c([H])c1[H])(<-O([H])[H])(O[N+](=O)O5)(O[N+](=O)O6)O[N+](=O)O7
ACUSIB,0,ok,0.0648,53,1,,[Re+]1(<-n2c([H])c([H])c(C([H])([H])[H])c([H])c2-c2n->1c([H])c([H])c(C([H])([H])[H])c2[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])OC(C([H])(OC(C([H])(C([H])([H])[H])O[H])=O)C([H])([H])[H])=O
ADAMAT,0,ok,0.0536,53,1,,[Hf+4]1234567(Cl)(Cl)(p8c->1(-c1c([H])c([H])c([H])c([H])c1[H])c(C([H])([H])[H])c->2(C([H])([H])[H])c->38[H])p1c->4(-c2c([H])c([H])c([H])c([H])c2[H])c->5(C([H])([H])[H])c->6(C([H])([H])[H])c->71[H]
