IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAXUY,,C26 H52 N3 Os1 P2 1+,1.0,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C
ABELOK,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1,C24 H21 Au1 Cl1 N1 S1,0.0,Cc1cc(C)c(-[n+]2c(-c3ccccc3)s[c-](->[Au+]<-[Cl-])c2-c2ccccc2)c(C)c1,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1
ABIGIC,,C35 H27 B1 Cl2 F10 N2 Si1 Zr1,0.0,Cn1c[n+]([B-](CCCc23->[Zr+4]456789%10%11(<-[Cl-])(<-[Cl-])<-c%12c->4c->5([Si](C)(C)c->6(c->72)[cH-]->8c->93)c->%10[cH-]->%11%12)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc21,Cn1c[n+]([B-](CCCc23->[Zr+4]456789%10%11(<-[Cl-])(<-[Cl-])<-c%12c->4c->5[c-]->6([Si](C)(C)[c-]->7(c->8c->92)c->%103)c->%11%12)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc21,Cn1c[n+]([B-](CCCc23->[Zr+4]456789%10%11(<-[Cl-])(<-[Cl-])<-c%12c->4c->5[c-]->6([Si](C)(C)[c-]->7(c->8c->92)c->%103)c->%11%12)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc21
ABOMAI,,C20 H18 Cl1 N4 Ni1 O1 1+,1.0,O->[Ni+2]12(<-[Cl-])(<-n3ccccc3-c3ccccn->13)<-n1ccccc1-c1ccccn->21,O->[Ni+2]12(<-[Cl-])(<-n3ccccc3-c3ccccn->13)<-n1ccccc1-c1ccccn->21,O.[Cl-]->[Ni+2]12(<-n3ccccc3-c3ccccn->13)<-n1ccccc1-c1ccccn->21
ACAFUI,C/C1c2cccc(/C(C)=N/NC(=O)c3ccccc3)n2->[Zn+2]2(<-O)(<-[O-][N+](=O)[O-]->2)<-N=1\NC(=O)c1ccccc1,C23 H23 N6 O6 Zn1 1+,1.0,CC1c2cccc3C(C)=N4NC(=O->[Zn+2]<-45(<-O)(<-O=C(NN->5=1)c1ccccc1)(<-[O-][N+](=O)[O-])<-n23)c1ccccc1,CC1c2cccc3C(C)=N4NC(=O->[Zn+2]<-45(<-O)(<-O=C(NN->5=1)c1ccccc1)(<-[O-][N+](=O)[O-])<-n23)c1ccccc1,CC1c2cccc3C(C)=N4NC(=O->[Zn+2]<-4(<-O)(<-[O-][N+](=O)[O-])(<-N=1NC(=O)c1ccccc1)<-n23)c1ccccc1
ACETUX,CC(C)[C@H](N)C(O)=O->[Zn+2](<-[Cl-])(<-[Cl-])<-O=C(O)[C@@H](N)C(C)C,C10 H22 Cl2 N2 O4 Zn1,0.0,CC(C)C([NH3+])C(=O)[O-]->[Zn+2](<-[Cl-])(<-[Cl-])<-[O-]C(=O)C([NH3+])C(C)C,CC(C)C([NH3+])C(=O)[O-]->[Zn+2](<-[Cl-])(<-[Cl-])<-[O-]C(=O)C([NH3+])C(C)C,CC(C)C(N)C(O)=O->[Zn+2](<-[Cl-])(<-[Cl-])<-O=C(O)C(N)C(C)C
ACIVOA,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1,C30 H40 Cl2 N4 Pd1,0.0,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1
ACOSOD,,C15 H16 Cl1 N1 O1 Pd1,0.0,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-OC(C)(C)c4cccc(-c12)n->34,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-OC(C)(C)c4cccc(-c12)n->34,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-OC(C)(C)c4cccc(-c12)n->34
ACUCAF,,C13 H9 Br2 Hg1 N3,0.0,[Br-]->[Hg+2]1(<-[Br-])<-n2ccccc2-c2ccc3cccnc3n->12,[Br-]->[Hg+2]1(<-[Br-])<-n2ccccc2-c2ccc3cccnc3n->12,[Br-]->[Hg+2](<-[Br-])<-n1c(-c2ccccn2)ccc2cccnc21
ACUGUB,O=[N+]1[O-]->[Y+3]2345(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->42)n->51,C18 H14 N9 O10 Y1,0.0,O=[N+]1[O-]->[Y+3]2345(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->42)n->51,O=[N+]1[O-]->[Y+3]2345(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->42)n->51,O=[N+]1[O-]->[Y+3]23456(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+]->3(=O)[O-]->4)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->52)n->61
