IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAKAS,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C11 H12 I2 N4 Pt1,0.0,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
ABARAX,CO[P@@]1(=O)[O-]->[Y+3]2345<-[O-][P@@](=O)(OC)/C(C)=N->2/CCN2CCN(CC/N->3=C/1C)CCN(CC/N->4=C(\C)[P@](=O)(OC)[O-]->5)CC2,C21 H42 N6 O9 P3 Y1,0.0,COP1(=O)[O-]->[Y+3]2345678<-[O-]P(=O)(OC)C(C)=N->2CCN->32CCN->4(CCN->5=C1C)CCN->6(CCN->7=C(C)P(=O)(OC)[O-]->8)CC2,,
ABARUT,,C13 H21 Cd1 N9 O2,0.0,CC1c2ccccn2->[Cd+2]2(<-O)(<-[N-]=[N+]=[N-])(<-[N-]=[N+]=[N-])<-N=1CCN->21CCOCC1,CC1c2ccccn2->[Cd+2]2(<-O)(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1,CC1=N2->[Cd+2](<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-n3ccccc31)<-N1(CCOCC1)CC2.O
ABATEC,,C22 H28 B1 F12 N5 Ru1,0.0,fail,CC(C)(C)N->[RuH+]123(<-C4=C->1CCC->2=C->3CC4)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1nc(C(F)(F)F)cc1C(F)(F)F,CC(C)(C)N->[RuH+]123(<-C4=C->1CCC->2=C->3CC4)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1nc(C(F)(F)F)cc1C(F)(F)F
ABATUS,[O+]#[C-]->[Ru+2]12(<-[C-]#[O+])(<-O=[C-]->1[C@H]1CCC#CCCC1)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1c(C(F)(F)F)cc(C(F)(F)F)n->21,C21 H17 B1 F12 N4 O3 Ru1,0.0,O=[C-](C1CCC=CCCC1)->[Ru+2]12(<-[H][BH-]([n+]3c(C(F)(F)F)cc(C(F)(F)F)[n-]->13)[n+]1c(C(F)(F)F)cc(C(F)(F)F)[n-]->21)(<-[C-]#[O+])<-[C-]#[O+],O=[C-](C1CCC#CCCC1)->[Ru+2]1(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(C(F)(F)F)cc(C(F)(F)F)n2[BH2-]n2c(C(F)(F)F)cc(C(F)(F)F)n->12,O=[C-](C1CCC#CCCC1)->[Ru+2]1(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(C(F)(F)F)cc(C(F)(F)F)n2[BH2-]n2c(C(F)(F)F)cc(C(F)(F)F)n->12
ABAXOS,,C24 H50 N2 Os1 P2,0.0,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C
ABAXUY,,C26 H52 N3 Os1 P2 1+,1.0,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C
ABAYUA,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABAZAH,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABAZIP,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABAZOU,,C14 H19 I2 Ir1 N2,0.0,CC(C)C1Cc23->[Ir+3]456(<-[I-])(<-[I-])(<-[C]7N(C)C=CN71)<-c(c->4[cH-]->52)c->63,CC(C)C1C[c-]23->[Ir+3]456(<-[I-])(<-[I-])(<-[c-]7n1cc[n+]7C)<-c(c->4c->52)c->63,CC(C)C1C[c-]23->[Ir+3]456(<-[I-])(<-[I-])(<-[c-]7n1cc[n+]7C)<-c(c->4c->52)c->63
ABEFOF,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,C18 H18 Ag1 N3 O4 S2,0.0,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,Cc1ccccn1->[Ag+3]12(<-[O-]S34(=O)c5ccccc5S3(=O)([O-]->1)[N-]->24)<-n1ccccc1C
ABEGOD,C/C1=N2\CCCN3CCC/N4=C(\C)C(C)(C)[S@]5(=O)[O-]->[Co+3]<-2<-4<-3<-5<-[S-]C1(C)C,C16 H31 Co1 N3 O2 S2 1+,1.0,CC1=N2CCCN3CCCN4=C(C)C(C)(C)[SH](=O)(=O)->[Co+2]<-2<-4<-3<-[S-]C1(C)C,CC1=N2CCCN3CCCN4=C(C)C(C)(C)S(=O)(#[O+])->[Co+]<-2<-4<-3<-[S-]C1(C)C,CC1=N2CCCN3CCCN4=C(C)C(C)(C)S5(#[O+])=O->[Co+]<-2<-4<-3<-5<-[S-]C1(C)C
ABEJAS,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]34(<-[I-])(<-[CH2-]c->32c1CP->4(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,C41 H38 I1 P2 Rh1,0.0,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1
ABELOK,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1,C24 H21 Au1 Cl1 N1 S1,0.0,Cc1cc(C)c(-[n+]2c(-c3ccccc3)s[c-](->[Au+]<-[Cl-])c2-c2ccccc2)c(C)c1,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1
ABENIH,,C28 H30 Ag1 F2 N3 O4 S2,0.0,Cc1cc(C)n(->[Ag+](<-n2c(C)cc(C)cc2C)<-[N-](S(=O)(=O)c2ccc(F)cc2)S(=O)(=O)c2ccc(F)cc2)c(C)c1,Cc1cc(C)n(->[Ag+](<-n2c(C)cc(C)cc2C)<-[N-](S(=O)(=O)c2ccc(F)cc2)S(=O)(=O)c2ccc(F)cc2)c(C)c1,Cc1cc(C)n(->[Ag+]2(<-O=S(=O)(c3ccc(F)cc3)[N-]->2S(=O)(=O)c2ccc(F)cc2)<-n2c(C)cc(C)cc2C)c(C)c1
ABENRE,,C2 H6 Br4 N1 O2 Re1 1-,-1.0,CCO->[Re+4](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O,CC[O-]->[Re+5](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O,CC[O-]->[Re+5](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O
ABERIK,Cc1cc(C)c(-c2ccc/c3=N(\c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1,C25 H32 Cl3 N3 Ti1,0.0,Cc1cc(C)c(-c2cccc3[N-](c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-n23)<-N(C)C)c(C)c1,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1
ABETIK,,C34 H20 B1 F15 Si1 Zr1,0.0,fail,C[Si]1(C)c23->[Zr+4]456789%10%11%12(<-[CH2-]C->4=C->5C[B-](c4c(F)c(F)c(F)c(F)c4F)(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)(<-c(c->6[cH-]->72)c->83)<-c2c->9c->%10[c-]->%111c->%122,C[Si]1(C)c23->[Zr+6]456789%10(<-[F-])(<-[CH2-]C=CC[B-](c%11[c-]c(F)c(F)c(F)c%11F)(c%11c(F)c(F)c(F)c(F)c%11F)c%11c(F)c(F)c(F)c(F)c%11F)(<-c(c->4[cH-]->52)c->63)<-c2c->7c->8[c-]->91c->%102
