IDs,xyz2mol_status,error_type,elapsed_s,ilp_seconds,n_atoms
ABARAX,timeout,timeout,300.0,0.1480,82
ABEJAS,fail,ArgumentError,,0.1180,83
AFUXOP,fail,IndexError,,0.4581,33
AGEBIA,fail,AttributeError,,0.0920,75
AGEVAJ,fail,AttributeError,,0.2272,65
AHEXAM,fail,AttributeError,,0.1113,73
AJIDOM,fail,AttributeError,,0.1368,81
ANEBIF,fail,ArgumentError,,0.0975,72
ANECIG,fail,ArgumentError,,0.1058,78
ANECOM,fail,ArgumentError,,0.1422,76
APUGIC,fail,ArgumentError,,0.1504,77
ASAFIK,fail,ArgumentError,,0.1448,77
ASAGAD,fail,ArgumentError,,0.0973,73
ATOSUY,fail,AttributeError,,0.4173,84
AXEQUP,fail,ArgumentError,,0.1374,51
AXEREA,fail,ArgumentError,,0.4073,57
AYOXER,fail,ArgumentError,,0.2556,72
AYOXIV,fail,ArgumentError,,0.1570,71
BAFLUS,fail,AttributeError,,0.1315,51
BASBEE,fail,mol_is_none,0.4078,0.1071,70
BASTAT,fail,AttributeError,,0.1981,76
BAYTIE,fail,AttributeError,,0.3432,46
BEGFOL,fail,AttributeError,,0.1601,82
BENPAL,fail,KekulizeException,,0.0743,22
BENQIW,fail,AttributeError,,0.1029,47
BILQUI,fail,mol_is_none,0.0894,0.1167,74
BIMLEP,fail,AttributeError,,0.1841,66
BIMLIT,fail,AttributeError,,0.3785,52
BOCZAU,fail,ArgumentError,,0.0655,66
BOLDOW,fail,ArgumentError,,0.1920,75
BOQTIL,fail,ArgumentError,,0.1031,69
BOQTOR,fail,ArgumentError,,0.1034,69
BOQTUX,fail,ArgumentError,,0.1033,69
BOQVAF,fail,ArgumentError,,0.1023,69
BOZMIN,fail,AttributeError,,0.2075,45
BUNFEW,fail,ArgumentError,,0.0840,77
BUPMIK,fail,AttributeError,,0.1252,77
BUPMOQ,fail,AttributeError,,0.1117,77
BUYMIS,fail,AttributeError,,0.0555,55
BUYMOY,fail,AttributeError,,0.0601,64
CAFPIJ,fail,AttributeError,,0.1000,49
CAJPUY,fail,ArgumentError,,0.0962,78
CAMSAM,fail,AttributeError,,0.2263,74
CASWIC,fail,AttributeError,,0.0615,42
CAWSAU,fail,AttributeError,,0.1603,64
CAWYUX,fail,ArgumentError,,0.0737,67
CEDMED,fail,AttributeError,,0.4068,56
CEGGON,fail,AttributeError,,0.1535,81
CEGPOW,fail,AttributeError,,0.1912,81
CEHHAB,fail,mol_is_none,18.9947,0.2607,73
CEJBEZ,fail,ArgumentError,,0.1971,75
CIGJIN,fail,KekulizeException,,0.1215,78
CIJJUA,fail,AttributeError,,0.0741,39
CILFOV,fail,AttributeError,,0.1340,78
CINPOG,timeout,timeout,300.0,0.5655,73
CINPUM,timeout,timeout,300.0,0.5145,76
CINQAT,timeout,timeout,300.0,0.5554,82
CODXID,fail,ArgumentError,,0.1307,83
COFWUP,fail,AttributeError,,0.0797,67
COLPOI,fail,AttributeError,,0.3612,35
COMWUX,fail,AttributeError,,0.3469,82
DACPOO,fail,KekulizeException,,0.2456,49
DAGXUE,timeout,timeout,300.0,0.4191,59
DAJDAT,fail,ArgumentError,,0.0604,47
DAJSAJ,fail,ArgumentError,,0.0932,63
DALLIN,fail,AttributeError,,0.4348,58
DAPBON,fail,AttributeError,,0.0973,75
DAVQIA,fail,ArgumentError,,0.4897,77
DEGPOW,timeout,timeout,300.0,0.3057,73
DEPWAW,fail,AttributeError,,0.1723,71
DEWMOH,fail,ArgumentError,,0.0997,75
DEXLEY,fail,mol_is_none,2.3192,0.0628,57
DIGMIS,fail,ArgumentError,,0.1090,72
DILDAG,fail,AttributeError,,0.1175,64
DIVVEM,fail,ArgumentError,,0.1231,85
DIVVIQ,fail,ArgumentError,,0.1075,73
DIVVOW,fail,ArgumentError,,0.1177,73
DOGGEM,fail,ArgumentError,,0.0899,84
DOGGIQ,fail,ArgumentError,,0.0944,85
DOPZOA,fail,mol_is_none,0.0964,0.0950,81
DORHEY,fail,ArgumentError,,0.3425,62
DOTMOQ,fail,ArgumentError,,0.2341,65
DOTNAD,fail,mol_is_none,1.0403,0.2001,63
DUGSIH,fail,KekulizeException,,0.0742,18
DUMVIQ,fail,mol_is_none,0.1037,0.1145,60
EBUFIQ,fail,mol_is_none,0.0608,0.0430,39
ECOTAR,fail,ArgumentError,,0.1775,57
ECOTEV,fail,ArgumentError,,0.1678,63
EDOZAA,fail,ArgumentError,,0.0804,65
EFOCEH,fail,ArgumentError,,0.0790,67
EFOCOR,fail,ArgumentError,,0.0888,78
EGAYAM,fail,AttributeError,,0.0858,60
EGEGON,fail,AttributeError,,0.0942,62
EGEGUT,fail,AttributeError,,0.1096,73
EHAZUI,fail,AttributeError,,0.0973,37
EJODUE,fail,mol_is_none,77.8011,0.1438,83
ENUZOD,fail,AttributeError,,0.1075,71
EQURAL,fail,AttributeError,,0.0627,73
ETOHAY,fail,ArgumentError,,0.0870,75
ETOHEC,fail,AttributeError,,0.0999,73
ETORIQ,fail,AttributeError,,0.1868,77
ETUSIV,fail,ArgumentError,,0.0647,83
EWEXUZ,fail,ArgumentError,,0.2886,75
EXEZUE,fail,AttributeError,,0.0767,76
FACHOH,fail,ArgumentError,,0.1165,54
FAHJAA,fail,AttributeError,,0.0694,61
FAVNEV,fail,mol_is_none,0.1581,0.1244,71
FAYBIS,fail,AttributeError,,0.1011,62
FAZCUH,timeout,timeout,300.0,0.3143,84
FEKYUQ,timeout,timeout,300.0,0.4373,79
FESKET,fail,ArgumentError,,0.5392,57
FIBZOG,fail,AttributeError,,0.5365,76
FIGKUC,fail,ArgumentError,,0.0947,77
FIGLAJ,fail,ArgumentError,,0.0961,77
FILJUG,fail,AttributeError,,0.1751,70
FOCNER,fail,ArgumentError,,0.3675,73
FOFDOT,fail,ArgumentError,,0.4548,56
FOJSOO,fail,ArgumentError,,0.1312,51
FONKOL,fail,AttributeError,,0.1952,62
FOPQAD,fail,AttributeError,,0.0807,58
FOQLUV,fail,mol_is_none,0.2489,0.1110,69
FORSEK,fail,ArgumentError,,0.1613,55
FOSNEI,fail,mol_is_none,60.9475,0.1114,77
FUTWAT,fail,mol_is_none,0.3566,0.0825,84
GABSEI,fail,ArgumentError,,0.0781,72
GAGBUO,fail,AttributeError,,0.1212,66
GAHJEG,fail,mol_is_none,0.1458,0.0703,73
GENTUO,fail,ArgumentError,,0.3480,71
GENYAB,fail,ArgumentError,,0.1073,61
GENYIJ,fail,ArgumentError,,0.1135,61
GENYOP,fail,ArgumentError,,0.1460,61
GIJNOD,fail,AttributeError,,0.1368,54
GIJZAA,fail,ArgumentError,,0.1363,85
GINQID,fail,ArgumentError,,0.0945,73
GIPTUU,fail,ArgumentError,,0.3975,45
GIPWAD,fail,ArgumentError,,0.3969,47
GIPWOR,fail,ArgumentError,,0.2772,49
GIRCOC,fail,KekulizeException,,0.0770,42
GITMIF,fail,AttributeError,,0.1805,68
GIXSAH,fail,ArgumentError,,0.3720,79
GIZFUQ,fail,ArgumentError,,0.0964,74
GOGBAF,fail,AttributeError,,0.2679,81
GOHDUF,fail,AttributeError,,0.1124,65
GOJQUT,fail,AttributeError,,0.1175,69
GUQFOO,fail,AttributeError,,0.1113,77
GUVNIV,fail,AttributeError,,0.0734,53
GUXPAS,fail,ArgumentError,,0.1760,72
GUXPIA,fail,ArgumentError,,0.1458,72
GUXVEC,fail,ArgumentError,,0.0985,76
GUZMAR,fail,ArgumentError,,0.0559,57
GUZMEV,fail,ArgumentError,,0.0548,57
GUZMIZ,fail,ArgumentError,,0.0540,57
GUZMOF,fail,ArgumentError,,0.0720,85
GUZNAS,fail,ArgumentError,,0.0624,69
GUZNIA,fail,ArgumentError,,0.0379,65
HAGKIL,fail,AttributeError,,0.0927,66
HAJLAG,fail,ArgumentError,,0.1287,59
HAXLOH,fail,AttributeError,,0.0673,47
HAYZIS,fail,mol_is_none,0.0731,0.0837,48
HAZKOI,fail,AttributeError,,0.2960,58
HERKAQ,fail,ArgumentError,,0.1829,55
HERQEA,fail,ArgumentError,,0.1478,55
HEYYER,fail,ArgumentError,,0.1955,78
HEZTUB,fail,AttributeError,,0.0588,36
HIHSOH,fail,AttributeError,,0.1143,63
HINLOF,fail,ArgumentError,,0.1191,51
HINLUL,fail,ArgumentError,,0.1332,67
HINMAS,fail,ArgumentError,,0.1806,47
HINMIA,fail,ArgumentError,,0.1016,47
HINMUM,fail,ArgumentError,,0.1044,50
HINNAT,fail,ArgumentError,,0.1422,57
HINNEX,fail,ArgumentError,,0.1532,57
HISCAN,fail,ArgumentError,,0.1937,84
HITBAO,fail,AttributeError,,0.1017,83
HIXZEU,fail,AttributeError,,0.0879,57
HIXZIY,fail,AttributeError,,0.1091,73
HOGRAZ,fail,mol_is_none,0.4646,0.0582,54
HOXDON,fail,ArgumentError,,0.4641,83
HOXFIJ,fail,ArgumentError,,0.4528,72
HOXFOP,fail,ArgumentError,,0.4453,71
