IDs,stage,exc,msg
ABEJAS,fix_equivalent_Os,ArgumentError,Python argument types in
AFUXOP,get_lig_mol,IndexError,list index out of range
AGEBIA,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
AGEVAJ,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
AHEXAM,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
AJIDOM,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
APUGIC,fix_equivalent_Os,ArgumentError,Python argument types in
AXEQUP,fix_equivalent_Os,ArgumentError,Python argument types in
AXEREA,fix_equivalent_Os,ArgumentError,Python argument types in
AYOXER,fix_equivalent_Os,ArgumentError,Python argument types in
AYOXIV,fix_equivalent_Os,ArgumentError,Python argument types in
BAFLUS,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BASTAT,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BAYTIE,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BENPAL,fix_equivalent_Os,KekulizeException,Can't kekulize mol.  Unkekulized atoms: 8 9 12 13 14
BENQIW,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BIMLEP,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BIMLIT,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BOLDOW,fix_equivalent_Os,ArgumentError,Python argument types in
BOZMIN,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BUNFEW,fix_equivalent_Os,ArgumentError,Python argument types in
BUPMIK,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BUPMOQ,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BUYMIS,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
BUYMOY,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CAFPIJ,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CAJPUY,fix_equivalent_Os,ArgumentError,Python argument types in
CAMSAM,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CAWYUX,fix_equivalent_Os,ArgumentError,Python argument types in
CEGGON,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CEGPOW,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CEJBEZ,fix_equivalent_Os,ArgumentError,Python argument types in
CIGJIN,fix_equivalent_Os,KekulizeException,Can't kekulize mol.  Unkekulized atoms: 0 1 2 9 10 11 12 21 22
CIJJUA,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CILFOV,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
CODXID,fix_equivalent_Os,ArgumentError,Python argument types in
COLPOI,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
COMWUX,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
DACPOO,fix_equivalent_Os,KekulizeException,Can't kekulize mol.  Unkekulized atoms: 11 12 13 14 15
DAJDAT,fix_equivalent_Os,ArgumentError,Python argument types in
DAJSAJ,fix_equivalent_Os,ArgumentError,Python argument types in
DAPBON,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
DAVQIA,fix_equivalent_Os,ArgumentError,Python argument types in
DEPWAW,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
DILDAG,get_lig_mol,AttributeError,'NoneType' object has no attribute 'GetAtoms'
DIVVEM,fix_equivalent_Os,ArgumentError,Python argument types in
DIVVIQ,fix_equivalent_Os,ArgumentError,Python argument types in
DIVVOW,fix_equivalent_Os,ArgumentError,Python argument types in
DOGGEM,fix_equivalent_Os,ArgumentError,Python argument types in
DOGGIQ,fix_equivalent_Os,ArgumentError,Python argument types in
