IDs,in_graph_consensus,treatment,status,both_parsed,ligand_canonical,ligand_equiv,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,neighbors_ilp,neighbors_reference
ABAFOZ,1,baseline,ok,1,1,1,1,1,1,2,2,N N O O,N N O O
ABAFOZ,1,ml_only,ok,1,1,1,1,1,1,2,2,N N O O,N N O O
ABAFOZ,1,ligand_only,ok,1,1,1,1,1,1,2,2,N N O O,N N O O
ABAFOZ,1,full,ok,1,1,1,1,1,1,2,2,N N O O,N N O O
ABAFUF,1,baseline,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAFUF,1,ml_only,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAFUF,1,ligand_only,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAFUF,1,full,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAGAM,1,baseline,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAGAM,1,ml_only,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAGAM,1,ligand_only,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAGAM,1,full,ok,1,1,1,1,1,1,2,2,Cl Cl N N,Cl Cl N N
ABAJAP,1,baseline,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJAP,1,ml_only,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJAP,1,ligand_only,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJAP,1,full,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJET,1,baseline,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJET,1,ml_only,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJET,1,ligand_only,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJET,1,full,ok,1,1,1,1,1,1,2,2,N N N N S,N N N N S
ABAJIZ,1,baseline,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJIZ,1,ml_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJIZ,1,ligand_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJIZ,1,full,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJOF,1,baseline,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJOF,1,ml_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJOF,1,ligand_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAJOF,1,full,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAKAS,1,baseline,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAKAS,1,ml_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
ABAKAS,1,ligand_only,ok,1,0,1,1,1,1,2,2,C I I N,C I I N
