cohort,treatment,metric,matches,total,comparable,fixed_denominator_percent,comparable_percent
metric_consensus_29110,baseline,ligand_canonical,24747,29110,29100,85.01202335967022,85.04123711340206
metric_consensus_29110,baseline,ligand_equiv,27855,29110,29100,95.6887667468224,95.72164948453609
metric_consensus_29110,baseline,metal_connectivity,28104,29110,29100,96.5441429062178,96.57731958762886
metric_consensus_29110,baseline,metal_oxidation,28055,29110,29100,96.37581587083477,96.40893470790378
metric_consensus_29110,baseline,full_connectivity,28101,29110,29100,96.53383716935761,96.56701030927834
metric_consensus_29110,ml_only,ligand_canonical,24696,29110,28978,84.83682583304706,85.22327282766237
metric_consensus_29110,ml_only,ligand_equiv,27787,29110,28978,95.45517004465819,95.88998550624612
metric_consensus_29110,ml_only,metal_connectivity,28899,29110,28978,99.27516317416695,99.72737939126233
metric_consensus_29110,ml_only,metal_oxidation,27960,29110,28978,96.04946753692889,96.48699013044379
metric_consensus_29110,ml_only,full_connectivity,28896,29110,28978,99.26485743730677,99.71702670991787
metric_consensus_29110,ligand_only,ligand_canonical,24645,29110,28979,84.6616283064239,85.04434245488112
metric_consensus_29110,ligand_only,ligand_equiv,27737,29110,28979,95.2834077636551,95.71413782394147
metric_consensus_29110,ligand_only,metal_connectivity,27999,29110,28979,96.18344211611131,96.6182407950585
metric_consensus_29110,ligand_only,metal_oxidation,27937,29110,28979,95.97045688766747,96.40429276372545
metric_consensus_29110,ligand_only,full_connectivity,27997,29110,28979,96.17657162487117,96.61133924566064
metric_consensus_29110,full,ligand_canonical,24696,29110,28978,84.83682583304706,85.22327282766237
metric_consensus_29110,full,ligand_equiv,27787,29110,28978,95.45517004465819,95.88998550624612
metric_consensus_29110,full,metal_connectivity,28899,29110,28978,99.27516317416695,99.72737939126233
metric_consensus_29110,full,metal_oxidation,27960,29110,28978,96.04946753692889,96.48699013044379
metric_consensus_29110,full,full_connectivity,28896,29110,28978,99.26485743730677,99.71702670991787
graph_consensus_29068,baseline,ligand_canonical,24707,29068,29058,84.99724783266822,85.02649872668457
graph_consensus_29068,baseline,ligand_equiv,27815,29068,29058,95.68941791660933,95.722348406635
graph_consensus_29068,baseline,metal_connectivity,28064,29068,29058,96.54602999862392,96.57925528253837
graph_consensus_29068,baseline,metal_oxidation,28014,29068,29058,96.37401954038806,96.40718562874251
graph_consensus_29068,baseline,full_connectivity,28062,29068,29058,96.53914958029448,96.57237249638654
graph_consensus_29068,ml_only,ligand_canonical,24665,29068,28945,84.8527590477501,85.21333563655209
graph_consensus_29068,ml_only,ligand_equiv,27756,29068,28945,95.48644557589101,95.89220936258421
graph_consensus_29068,ml_only,metal_connectivity,28866,29068,28945,99.30507774872713,99.72706857833823
graph_consensus_29068,ml_only,metal_oxidation,27928,29068,28945,96.07816155222237,96.48643979961997
graph_consensus_29068,ml_only,full_connectivity,28864,29068,28945,99.29819733039768,99.72015892209363
graph_consensus_29068,ligand_only,ligand_canonical,24613,29068,28946,84.67386817118481,85.03074690803565
graph_consensus_29068,ligand_only,ligand_equiv,27705,29068,28946,95.31099490849044,95.7127064188489
graph_consensus_29068,ligand_only,metal_connectivity,27967,29068,28946,96.21232970964634,96.61784011607821
graph_consensus_29068,ligand_only,metal_oxidation,27904,29068,28946,95.99559653226916,96.40019346369101
graph_consensus_29068,ligand_only,full_connectivity,27965,29068,28946,96.20544929131691,96.61093069854212
graph_consensus_29068,full,ligand_canonical,24665,29068,28945,84.8527590477501,85.21333563655209
graph_consensus_29068,full,ligand_equiv,27756,29068,28945,95.48644557589101,95.89220936258421
graph_consensus_29068,full,metal_connectivity,28866,29068,28945,99.30507774872713,99.72706857833823
graph_consensus_29068,full,metal_oxidation,27928,29068,28945,96.07816155222237,96.48643979961997
graph_consensus_29068,full,full_connectivity,28864,29068,28945,99.29819733039768,99.72015892209363
validated_graph_consensus,baseline,ligand_canonical,24612,28948,28945,85.0214177145226,85.03022974607013
validated_graph_consensus,baseline,ligand_equiv,27704,28948,28945,95.7026392151444,95.71255830022456
validated_graph_consensus,baseline,metal_connectivity,27966,28948,28945,96.60771037722813,96.6177232682674
validated_graph_consensus,baseline,metal_oxidation,27903,28948,28945,96.39007876191792,96.40006909656245
validated_graph_consensus,baseline,full_connectivity,27964,28948,28945,96.60080143705956,96.6108136120228
validated_graph_consensus,ml_only,ligand_canonical,24665,28948,28945,85.20450462898991,85.21333563655209
validated_graph_consensus,ml_only,ligand_equiv,27756,28948,28945,95.88227165952743,95.89220936258421
validated_graph_consensus,ml_only,metal_connectivity,28866,28948,28945,99.7167334530883,99.72706857833823
validated_graph_consensus,ml_only,metal_oxidation,27928,28948,28945,96.47644051402514,96.48643979961997
validated_graph_consensus,ml_only,full_connectivity,28864,28948,28945,99.70982451291972,99.72015892209363
validated_graph_consensus,ligand_only,ligand_canonical,24613,28948,28946,85.02487218460688,85.03074690803565
validated_graph_consensus,ligand_only,ligand_equiv,27705,28948,28946,95.70609368522868,95.7127064188489
validated_graph_consensus,ligand_only,metal_connectivity,27967,28948,28946,96.61116484731242,96.61784011607821
validated_graph_consensus,ligand_only,metal_oxidation,27904,28948,28946,96.39353323200221,96.40019346369101
validated_graph_consensus,ligand_only,full_connectivity,27965,28948,28946,96.60425590714384,96.61093069854212
validated_graph_consensus,full,ligand_canonical,24665,28948,28945,85.20450462898991,85.21333563655209
validated_graph_consensus,full,ligand_equiv,27756,28948,28945,95.88227165952743,95.89220936258421
validated_graph_consensus,full,metal_connectivity,28866,28948,28945,99.7167334530883,99.72706857833823
validated_graph_consensus,full,metal_oxidation,27928,28948,28945,96.47644051402514,96.48643979961997
validated_graph_consensus,full,full_connectivity,28864,28948,28945,99.70982451291972,99.72015892209363
