IDs,ox_ilp,ox_reference,ilp_ligands,reference_ligands
ACPIRE,3,1,C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
AFOYAV,2,0,CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ALANRE,3,1,C[C-2]NC(C)C(=O)OCC || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]NC(C)C(=O)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
AYOPAF,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || [C-]#[O+] || [Cl-] || c1ccc(Nc2ccccn2)nc1,[C-]#[O+] || [Cl-] || c1ccc(-c2ccccn2)nc1 || c1ccc(Nc2ccccn2)nc1
AYUNIT,3,1,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2cc[n-]c3c4[n-]ccc5cccc(c(c1)c23)c54,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2ccnc3c4nccc5cccc(c(c1)c23)c54
BUZYEB,4,2,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [C-]#[O+] || [Cl-] || c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[C-]#[O+] || [Cl-] || c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1 || c1cnc2c(c1)ccc1cccnc12
CAHHOI,2,0,[C-]#[O+] || [C-]#[O+] || [C-](=P(c1ccccc1)(c1ccccc1)c1ccccc1)[P-](c1ccccc1)(c1ccccc1)c1ccccc1,C(=P(c1ccccc1)(c1ccccc1)c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+]
CHVICR,2,0,C=C([C-2]NC1CCCCC1)OC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C=C([C]NC1CCCCC1)OC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
CIJWUN,2,0,COC1(C)C([N-]C2CCCCC2)=C([N-]C2CCCCC2)C1(C)OC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COC1(C)C(=NC2CCCCC2)C(=NC2CCCCC2)C1(C)OC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
CZBACR,2,0,CCN([C-2]C(C)C(=NC)c1ccccc1)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CCN([C]C(C)C(=NC)c1ccccc1)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
DAWXEE,2,0,CCO[C-2]N=C(C(C)(C)C)C(C)(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CCO[C]N=C(C(C)(C)C)C(C)(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
