IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
AHUCAI,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CN1CCCN(C)CCN(C)CCN(C)CC1 || [O-][O-],CN1CCCN(C)CCN(C)CCN(C)CC1 || [O-][O-],CN1CCCN(C)CCN(C)CCN(C)CC1 || O=O,[Mn+3]1234(<-N5(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C([H])([H])N->3(C([H])([H])[H])C([H])([H])C5([H])[H])<-[O-][O-]->4,
ASISIE,ok,1,1,1,1,1,1,5,5,,metal_disconnection_or_ligand_partition,N_O_only_coordination,O=C([O-])C(=O)[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,O=C([O-])C(=O)[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || O=C([O-])C(=O)[O-] || O=O || [O-2],[V+5]123(=O)(<-[O-][O-]->1)(<-n1c([H])c([H])c([H])c4c1c1n->2c([H])c([H])c([H])c1c([H])c4[H])OC(=O)C(=O)O3,
AVOVUC,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CCCP(=O)(CCC)CCC || [O-2] || [O-][O-] || [O-][O-],CCCP(=O)(CCC)CCC || [O-2] || [O-][O-] || [O-][O-],CCCP(=O)(CCC)CCC || O=O || O=O || [O-2],[Mo+6]12(<-O=P(C([H])([H])C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])(=O)(<-[O-][O-]->1)<-[O-][O-]->2,
BAQVEW,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C(Cc1ccccc1)N[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,O=C(Cc1ccccc1)N[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,O=C(Cc1ccccc1)N[O-] || O=O || [O-2] || c1cnc2c(c1)ccc1cccnc12,[V+5]123(<-n4c([H])c([H])c([H])c5c4c4c(c([H])c([H])c([H])n->14)c([H])c5[H])(<-O=C(N([H])O2)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])(<-[O-][O-]->3)=O,
BOLMIB,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,CC(C)(C)c1cccc(-c2cccc(CP(C(C)(C)C)C(C)(C)C)n2)n1 || [Cl-] || [O-][O-],CC(C)(C)c1cccc(-c2cccc(CP(C(C)(C)C)C(C)(C)C)n2)n1 || [Cl-] || [O-][O-],CC(C)(C)c1cccc(-c2cccc(CP(C(C)(C)C)C(C)(C)C)n2)n1 || O=O || [Cl-],[Rh+3]123(Cl)(<-P(C([H])([H])c4n->1c(-c1n->2c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H])c([H])c([H])c4[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-[O-][O-]->3,
CABSEG,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || O=O || [O-2],[W+6]123(<-O([H])C([H])([H])[H])(<-[O-][O-]->1)(<-N(=C(C([H])([H])[H])c1c(c([H])c([H])c([H])c1[H])O2)N=C(c1c([H])c([H])c([H])c([H])c1[H])O3)=O,
CAVYAZ,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,O=O || O=O || [O-2] || c1ccc(-c2ccccn2)nc1,[V+5]123(<-[O-][O-]->1)(<-[O-][O-]->2)(=O)<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H],
CEFROU,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C([O-])c1ccccn1 || [O-2] || [O-][O-] || c1ccc(-c2ccccn2)nc1,O=C([O-])c1ccccn1 || [O-2] || [O-][O-] || c1ccc(-c2ccccn2)nc1,O=C([O-])c1ccccn1 || O=O || [O-2] || c1ccc(-c2ccccn2)nc1,[V+5]123(<-[O-][O-]->1)(=O)(OC(=O)c1n->2c([H])c([H])c([H])c1[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H],
CELNIS,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-]O || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,[O-2] || [O-]O || [O-][O-] || c1cnc2c(c1)ccc1cccnc12,O=O || [O-2] || [O-]O || c1cnc2c(c1)ccc1cccnc12,[V+5]123(=O)(<-[O-][O-]->1)(<-O([H])O2)<-n1c([H])c([H])c([H])c2c([H])c([H])c4c([H])c([H])c([H])n->3c4c12,
CIGCOK,ok,1,1,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,[C-]#N || c1ccc(C2COCN2)cc1,[C-]#N || [C]1NC(c2ccccc2)CO1,[C-2]1NC(c2ccccc2)CO1 || [C-]#N,[Au+](<-C1N([H])C(c2c([H])c([H])c([H])c([H])c2[H])([H])C([H])([H])O1)C#N,
