IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ACPIRE,0,ok,0.052979,33,1,,[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(=C(N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H]
ACUJUG,0,ok,0.101326,49,1,,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H]
ACUKOB,0,ok,0.078116,56,1,,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H]
AFOYAV,0,ok,0.080635,49,1,,[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(c1c([H])c([H])c([H])c([H])c1[H])N=C(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C([H])([H])[H]
AGOGEJ,0,ok,0.105256,76,1,,[Pd+4](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
AHUCAI,1,ok,0.060565,50,1,,[Mn+3]1234(<-N5(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C([H])([H])N->3(C([H])([H])[H])C([H])([H])C5([H])[H])<-[O-][O-]->4
AKOBEI,0,ok,0.081570,57,1,,[Ir+](Cl)(<-[C-]#[O+])(<-[C-]#[O+])<-C(N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
AKOBIM,0,ok,0.090421,75,1,,[Ir+](Cl)(<-[C-]#[O+])(<-[C-]#[O+])<-C(N(C([H])([H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H]
ALANRE,0,ok,0.057855,38,1,,[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(C(C([H])([H])[H])=O)=C(C([H])([H])[H])N(C(C([H])([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])[H])[H]
ALILAI,0,ok,0.162182,58,1,,[Mo+6]123(=O)(<-N(=C([H])c4c([H])c([H])c([H])c([H])c4O1)N=C(N(N=C(c1c(O[H])c([H])c([H])c([H])c1[H])[H])[H])S2)N1c2c(c([H])c([H])c4c2N3C([H])=C([H])C=4[H])=C([H])C([H])=C1[H]
ALOXAB,1,ok,0.119669,45,1,,[Pt+4]12(<-S(c3c(N1[H])c([H])c([H])c([H])c3[H])C([H])([H])[H])N1C([H])=C([H])C([H])=C([H])C1=C([H])N2c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
AMINOA,1,ok,0.187519,82,1,,[C-](#[O+])->[Fe+4]12345(=C(N(C(C(C([H])([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])[H])[Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-C1([H])=C->2([H])C3([H])C->4([H])=C->51[H]
AMIQOE,0,ok,0.104636,78,1,,[Cu+3]123(Cl)[B-](n4nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c4=S->1)(n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->2)n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->3
AMIRAR,1,ok,0.101124,83,1,,[Cu+3]123([B-](n4nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c4=S->1)(n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->2)n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->3)<-N#CC([H])([H])[H]
