IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ACPIRE,ok,1,0,0,1,0,1,3,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(=C(N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H],
ACUJUG,ok,1,0,0,1,0,1,3,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC([O-])=CC(C)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H],
ACUKOB,ok,1,0,0,1,0,1,3,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(C=C([O-])c1ccccc1)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H],
AFOYAV,ok,1,0,0,1,0,1,2,0,,coupled_ligand_charge_and_oxidation,carbonyl_like,CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(c1c([H])c([H])c([H])c([H])c1[H])N=C(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C([H])([H])[H],
AGOGEJ,ok,1,0,0,1,0,1,4,2,,coupled_ligand_charge_and_oxidation,other_C_bound_ligand,CCN([C-2]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN([C]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN([C-2]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Pd+4](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],
AKOBEI,ok,1,0,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,Cc1cc(C)c(N(C)CN(C)c2c(C)cc(C)cc2C)c(C)c1 || [C-]#[O+] || [C-]#[O+] || [Cl-],Cc1cc(C)c(N(C)[C]N(C)c2c(C)cc(C)cc2C)c(C)c1 || [C-]#[O+] || [C-]#[O+] || [Cl-],Cc1cc(C)c(N(C)[C-2]N(C)c2c(C)cc(C)cc2C)c(C)c1 || [C-]#[O+] || [C-]#[O+] || [Cl-],[Ir+](Cl)(<-[C-]#[O+])(<-[C-]#[O+])<-C(N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
AKOBIM,ok,1,0,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,CC(C)c1cccc(C(C)C)c1N(C)CN(C)c1c(C(C)C)cccc1C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],CC(C)c1cccc(C(C)C)c1N(C)[C]N(C)c1c(C(C)C)cccc1C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],CC(C)c1cccc(C(C)C)c1N(C)[C-2]N(C)c1c(C(C)C)cccc1C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],[Ir+](Cl)(<-[C-]#[O+])(<-[C-]#[O+])<-C(N(C([H])([H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
ALANRE,ok,1,0,0,1,0,1,3,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-2]NC(C)C(=O)OCC || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]NC(C)C(=O)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]NC(C)C(=O)OCC || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(C(C([H])([H])[H])=O)=C(C([H])([H])[H])N(C(C([H])([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])[H])[H],
ALILAI,ok,1,0,0,1,0,1,6,4,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O,[O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O || c1cnc2c(c1)ccc1cccnc12,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O,[Mo+6]123(=O)(<-N(=C([H])c4c([H])c([H])c([H])c([H])c4O1)N=C(N(N=C(c1c(O[H])c([H])c([H])c([H])c1[H])[H])[H])S2)N1c2c(c([H])c([H])c4c2N3C([H])=C([H])C=4[H])=C([H])C([H])=C1[H],
ALOXAB,ok,1,0,0,1,0,1,4,2,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CSc1ccccc1[NH-] || Cc1ccc([N-]C=C2C=CC=C[N-]2)cc1,CSc1ccccc1[NH-] || Cc1ccc(N=Cc2ccccn2)cc1,CSc1ccccc1[NH-] || Cc1ccc([N-]C=C2C=CC=C[N-]2)cc1,[Pt+4]12(<-S(c3c(N1[H])c([H])c([H])c([H])c3[H])C([H])([H])[H])N1C([H])=C([H])C([H])=C([H])C1=C([H])N2c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
