IDs,in_graph_consensus,treatment,status,both_parsed,ligand_canonical,ligand_equiv,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,neighbors_ilp,neighbors_reference,residual_class,coordination_delta,raw_ml_count,reference_ml_count,metal,missing_reference_neighbors,extra_output_neighbors
ACEKAU,1,full,ok,1,1,1,0,1,0,0,0,N P P,C N P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
AMIPOC,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
AYEFOA,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
BIPANI,1,full,ok,1,1,1,0,1,0,0,0,C C C,C C C C,fewer_output_metal_contacts,-1,4,4,Ni,C,
BUDHIR,1,full,ok,1,1,1,0,1,0,4,4,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,fewer_output_metal_contacts,-1,6,6,Ti,O,
CENYEB,1,full,ok,0,0,0,0,0,0,,2,,Br Br C C,fewer_output_metal_contacts,-4,4,4,Pd,Br Br C C,
CIYJUP,1,full,ok,1,1,1,0,1,0,1,1,C C P P P,C C C P P P,fewer_output_metal_contacts,-1,6,6,Ir,C,
DAKNEI,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
DANLAF,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
DIYXUE,1,full,ok,1,0,1,0,1,0,2,2,N N O O O,N N O O O O,fewer_output_metal_contacts,-1,6,6,Zn,O,
FIWTAG,1,full,ok,1,1,1,0,1,0,6,6,C C N N,C C C N N,fewer_output_metal_contacts,-1,5,5,Mo,C,
FOSMOP,1,full,ok,1,1,1,0,1,0,4,4,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,fewer_output_metal_contacts,-1,6,6,Ti,O,
GESZEJ,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
GIMVIJ,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
GOMLUP,1,full,ok,1,1,1,0,1,0,4,4,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,fewer_output_metal_contacts,-1,6,6,Ti,O,
GULMEF,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
HAMVOG,1,full,ok,1,1,1,0,1,0,1,1,C I S,C C I S,fewer_output_metal_contacts,-1,4,4,Cu,C,
HEDGEE,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
HEDGOO,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
HEDRIU,1,full,ok,1,1,1,0,1,0,2,2,C C C C C C Cl,C C C C C C C Cl,fewer_output_metal_contacts,-1,8,8,Ru,C,
HEDRUG,1,full,ok,1,1,1,0,1,0,2,2,C C C C C C Cl,C C C C C C C Cl,fewer_output_metal_contacts,-1,8,8,Ru,C,
IWULUH,1,full,ok,1,1,1,0,1,0,1,1,C Cl Cl,C C Cl Cl,fewer_output_metal_contacts,-1,4,4,Cu,C,
IZAGEW,1,full,ok,1,1,1,0,1,0,1,1,C Cl Cl,C C Cl Cl,fewer_output_metal_contacts,-1,4,4,Cu,C,
JEGNIS,1,full,ok,1,1,1,0,1,0,1,1,C Cl N,C C Cl N,fewer_output_metal_contacts,-1,4,4,Cu,C,
JEGPEQ,1,full,ok,1,1,1,0,1,0,1,1,C Cl N,C C Cl N,fewer_output_metal_contacts,-1,4,4,Cu,C,
JEGPUG,1,full,ok,1,1,1,0,1,0,1,1,C Cl N,C C Cl N,fewer_output_metal_contacts,-1,4,4,Cu,C,
JEGQAN,1,full,ok,1,1,1,0,1,0,1,1,Br C N,Br C C N,fewer_output_metal_contacts,-1,4,4,Cu,C,
JEGQER,1,full,ok,1,1,1,0,1,0,1,1,C I N,C C I N,fewer_output_metal_contacts,-1,4,4,Cu,C,
KAQYIK,1,full,ok,1,1,1,0,1,0,1,1,C Cl P,C C Cl P,fewer_output_metal_contacts,-1,4,4,Cu,C,
KAQYOQ,1,full,ok,1,1,1,0,1,0,1,1,Br C P,Br C C P,fewer_output_metal_contacts,-1,4,4,Cu,C,
KEDRIU,1,full,ok,1,1,1,0,1,0,1,1,C C C C C C C C,C C C C C C C C C,fewer_output_metal_contacts,-1,9,9,Mn,C,
KUSNAP,1,full,ok,1,1,1,0,1,0,4,4,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,fewer_output_metal_contacts,-1,6,6,Zr,O,
KUVRID,1,full,ok,1,1,1,0,1,0,1,1,C P,C C P,fewer_output_metal_contacts,-1,3,3,Au,C,
LADXOF,1,full,ok,1,1,1,0,1,0,1,1,C Cl Cl,C C Cl Cl,fewer_output_metal_contacts,-1,4,4,Cu,C,
LAGYUP,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
LAGZAW,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
LIGFUD,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
LOFLAT,1,full,ok,1,1,1,0,1,0,1,1,C C C C C C C C,C C C C C C C C C,fewer_output_metal_contacts,-1,9,9,Mn,C,
LOGWEJ,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pd,C,
MABDOJ,1,full,ok,1,1,1,0,1,0,2,2,C C C C C C P P,C C C C C C C P P,fewer_output_metal_contacts,-1,9,9,Ru,C,
MEJXIK,1,full,ok,1,1,1,0,1,0,1,1,C C P P,C C C P P,fewer_output_metal_contacts,-1,5,5,Rh,C,
MOSWAS,1,full,ok,1,1,1,0,1,0,0,0,N P P,C N P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
MOSWEW,1,full,ok,1,1,1,0,1,0,0,0,N P P,C N P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
NOSZEA,1,full,ok,1,1,1,0,1,0,1,1,C Cl Cl,C C Cl Cl,fewer_output_metal_contacts,-1,4,4,Cu,C,
NOSZIE,1,full,ok,1,1,1,0,1,0,1,1,Br Br C,Br Br C C,fewer_output_metal_contacts,-1,4,4,Cu,C,
OKOGIE,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pd,C,
