IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ACNCFE,ok,1,1,1,1,1,1,0,0,2,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,C1=Cc2cccc3cccc1c23 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C1=Cc2cccc3cccc1c23 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2c3c(cccc3c1)[CH-][CH-]2,C12(->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=1([H])c1c3c(c([H])c([H])c1[H])c([H])c([H])c([H])c32)[H],
ACPIRE,ok,1,0,0,1,0,1,3,1,3,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(=C(N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H],
ACUJUG,ok,1,0,0,1,0,1,3,5,3,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC([O-])=CC(C)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H],
ACUKOB,ok,1,0,0,1,0,1,3,5,3,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(C=C([O-])c1ccccc1)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H],
ACUSAS,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,COC(=O)C(CCSC)NP(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],COC(=O)C(CCSC)NP(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],COC(=O)C(CCSC)N[P-2](c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],[Pd+2]1(Cl)(Cl)<-P(N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])S->1C([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],
ADIBUL,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],O=P(CN(c1ccccn1)[P-2](c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],[Pt+2]1(<-P(N(c2n->1c([H])c([H])c([H])c2[H])C(P(=O)(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl,
ADIYOD,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC || [Cl-] || [Cl-],COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC || [Cl-] || [Cl-],COP(OC)OC || COP(OC)OC || COP(OC)OC || CO[P-2](OC)OC || [Cl-] || [Cl-],[Ru+2](Cl)(Cl)(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H],
AFAKAW,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],CS(C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],C[S-2](C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],c1(C([H])([H])[H])c([H])c([H])c([H])c(C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])[H])n2)S(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(=O)=O)n1->[Pt+2](<-S(C([H])([H])[H])(C([H])([H])[H])=O)(Cl)Cl,
AFEDUL,ok,1,1,1,1,1,1,2,2,6,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || CS(C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],CS(C)=O || CS(C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],C[S-2](C)=O || C[S-2](C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],[Ru+2]12(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])Oc3c(C(=N->1c1c(N->2([H])[H])c([H])c([H])c([H])c1[H])[H])c([H])c(Br)c([H])c3[H],
AFOYAV,ok,1,0,0,1,0,1,2,0,2,coupled_ligand_charge_and_oxidation,carbonyl_like,CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(c1c([H])c([H])c([H])c([H])c1[H])N=C(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C([H])([H])[H],
