IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ACNCFE,ok,1,1,1,1,1,1,0,0,2,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,C1=Cc2cccc3cccc1c23 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C1=Cc2cccc3cccc1c23 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2c3c(cccc3c1)[CH-][CH-]2,C12(->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=1([H])c1c3c(c([H])c([H])c1[H])c([H])c([H])c([H])c32)[H],
ACUSAS,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,COC(=O)C(CCSC)NP(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],COC(=O)C(CCSC)NP(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],COC(=O)C(CCSC)N[P-2](c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],[Pd+2]1(Cl)(Cl)<-P(N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])S->1C([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],
ADIBUL,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],O=P(CN(c1ccccn1)[P-2](c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],[Pt+2]1(<-P(N(c2n->1c([H])c([H])c([H])c2[H])C(P(=O)(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl,
ADIYOD,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC || [Cl-] || [Cl-],COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC || [Cl-] || [Cl-],COP(OC)OC || COP(OC)OC || COP(OC)OC || CO[P-2](OC)OC || [Cl-] || [Cl-],[Ru+2](Cl)(Cl)(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H],
AFAKAW,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],CS(C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],C[S-2](C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],c1(C([H])([H])[H])c([H])c([H])c([H])c(C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])[H])n2)S(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(=O)=O)n1->[Pt+2](<-S(C([H])([H])[H])(C([H])([H])[H])=O)(Cl)Cl,
AFEDUL,ok,1,1,1,1,1,1,2,2,6,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || CS(C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],CS(C)=O || CS(C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],C[S-2](C)=O || C[S-2](C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],[Ru+2]12(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])Oc3c(C(=N->1c1c(N->2([H])[H])c([H])c([H])c([H])c1[H])[H])c([H])c(Br)c([H])c3[H],
AGOQIX,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || CS(C)=O || NC(=O)NN=Cc1ccccc1 || [Cl-] || [Cl-],CS(C)=O || CS(C)=O || NC(=O)NN=Cc1ccccc1 || [Cl-] || [Cl-],CS(C)=O || C[S-2](C)=O || NC(=O)NN=Cc1ccccc1 || [Cl-] || [Cl-],[Ru+2]1(Cl)(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])<-O=C(N(N->1=C([H])c1c([H])c([H])c([H])c([H])c1[H])[H])N([H])[H],
AJEBAS,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CC1=CC(C)=NCCN1 || CS(C)=O || [Cl-] || [Cl-],CC1=CC(C)=NCCN1 || CS(C)=O || [Cl-] || [Cl-],CC1=CC(C)=NCCN1 || C[S-2](C)=O || [Cl-] || [Cl-],[Pt+2](Cl)(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])<-N1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])N([H])C([H])([H])C1([H])[H],
ALAVUF,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || CS(C)=O || O || [Cl-] || c1ccc(-c2ccccn2)nc1,CS(C)=O || CS(C)=O || O || [Cl-] || c1ccc(-c2ccccn2)nc1,CS(C)=O || C[S-2](C)=O || O || [Cl-] || c1ccc(-c2ccccn2)nc1,[Ru+2]1(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-O([H])[H])<-n2c(-c3n->1c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c2[H],
ALAWAM,ok,1,1,1,1,1,1,2,2,4,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CS(C)=O || CS(C)=O || CS(C)=O || [Cl-] || c1ccc(-c2ccccn2)nc1,CS(C)=O || CS(C)=O || CS(C)=O || [Cl-] || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || CS(C)=O || CS(C)=O || CS(C)=O || [Cl-],[Ru+2]1(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-O=S(C([H])([H])[H])C([H])([H])[H])<-n2c(-c3n->1c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c2[H],
