IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ACNCFE,0,ok,0.065204,29,1,,C12(->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=1([H])c1c3c(c([H])c([H])c1[H])c([H])c([H])c([H])c32)[H]
ACPIRE,0,ok,0.055488,33,1,,[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(=C(N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H]
ACUJUG,0,ok,0.125600,49,1,,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H]
ACUKOB,0,ok,0.101639,56,1,,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H]
ACUSAS,0,ok,0.063966,48,1,,[Pd+2]1(Cl)(Cl)<-P(N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])S->1C([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
ADIBUL,0,ok,0.100137,64,1,,[Pt+2]1(<-P(N(c2n->1c([H])c([H])c([H])c2[H])C(P(=O)(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl
ADIYOD,0,ok,0.085391,67,1,,[Ru+2](Cl)(Cl)(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H]
AFAKAW,0,ok,0.090707,63,1,,c1(C([H])([H])[H])c([H])c([H])c([H])c(C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])[H])n2)S(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(=O)=O)n1->[Pt+2](<-S(C([H])([H])[H])(C([H])([H])[H])=O)(Cl)Cl
AFEDUL,0,ok,0.095673,49,1,,[Ru+2]12(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])Oc3c(C(=N->1c1c(N->2([H])[H])c([H])c([H])c([H])c1[H])[H])c([H])c(Br)c([H])c3[H]
AFOYAV,0,ok,0.067197,49,1,,[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(c1c([H])c([H])c([H])c([H])c1[H])N=C(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C([H])([H])[H]
AGOGEJ,0,ok,0.093926,76,1,,[Pd+4](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
AGOQIX,0,ok,0.112513,44,1,,[Ru+2]1(Cl)(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])<-O=C(N(N->1=C([H])c1c([H])c([H])c([H])c([H])c1[H])[H])N([H])[H]
AHUCAI,1,ok,0.063119,50,1,,[Mn+]1234(<-N5(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C([H])([H])N->3(C([H])([H])[H])C([H])([H])C5([H])[H])<-O=O->4
AJEBAS,0,ok,0.067925,34,1,,[Pt+2](Cl)(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])<-N1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])N([H])C([H])([H])C1([H])[H]
AKOBEI,0,ok,0.095088,57,1,,[Ir+3](Cl)(<-[C-]#[O+])(<-[C-]#[O+])=C(N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])N(C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
