IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ACPIRE,ok,1,1,1,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])([C+](N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H],
ACUJUG,ok,1,0,0,1,0,1,3,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC([O-])=CC(C)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H],
ACUKOB,ok,1,0,0,1,0,1,3,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(C=C([O-])c1ccccc1)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H],
AFOYAV,ok,1,0,0,1,1,1,0,0,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[N+](C)=C(C=Cc1ccccc1)N=[C-]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])C(c1c([H])c([H])c([H])c([H])c1[H])=NC(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])=[N+](C([H])([H])[H])C([H])([H])[H],
AGOGEJ,ok,1,0,0,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,other_C_bound_ligand,CC[N+](=[C-]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN([C]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN([C-2]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Pd+2](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C(=[N+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],
ALANRE,ok,1,0,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-]=O || C[C-]=[NH+]C(C)C(=O)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]NC(C)C(=O)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]NC(C)C(=O)OCC || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(C(C([H])([H])[H])=O)C(C([H])([H])[H])=[N+](C(C([H])([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])[H])[H],
AMINOA,ok,1,0,0,1,0,1,0,2,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,C1=C[CH+]C=C1 || [C-]#[O+] || [C-](=[NH+]CCCP(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,[C-]#[O+] || [C](NCCCP(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1 || c1cc[cH-]c1,[C-2](NCCCP(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1 || [C-]#[O+] || c1cc[cH-]c1,[C-](#[O+])->[Fe]12345(C(=[N+](C(C(C([H])([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])[H])[Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-C1([H])=C->2([H])[C+]->3([H])C->4([H])=C->51[H],
AMIQOE,ok,1,1,1,1,1,0,1,1,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],[Cu+]123(Cl)->B(N4N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C4=S->1)(N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->2)N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->3,
AMIRAR,ok,1,1,1,1,1,0,1,1,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CC#N || Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,CC#N || Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,CC#N || Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,[Cu+]123(->B(N4N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C4=S->1)(N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->2)N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->3)<-N#CC([H])([H])[H],
APUYOB,ok,1,1,1,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C-2]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Br[Cu+][C+]1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c3c2c(c([H])c([H])c3[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
