metal,cohort_count,mismatch_count,mismatch_percent
Cr,406,69,16.995073891625616
Os,177,17,9.6045197740113
V,462,39,8.441558441558442
Ru,2412,203,8.416252072968492
Mn,426,31,7.276995305164319
W,907,63,6.945975744211687
Au,1843,99,5.371676614215953
Mo,898,47,5.233853006681515
Ir,868,38,4.377880184331797
Pt,3286,132,4.017041996348143
Fe,1315,50,3.802281368821293
Pd,4411,162,3.672636590342326
Ni,2373,78,3.2869785082174463
Tc,93,3,3.225806451612903
Rh,1369,41,2.9948867786705624
Re,1318,35,2.655538694992413
Ag,347,7,2.0172910662824206
Ti,875,17,1.9428571428571428
Zr,390,7,1.794871794871795
Cu,896,15,1.6741071428571428
Co,920,15,1.6304347826086956
Nb,94,1,1.0638297872340425
Hf,96,1,1.0416666666666667
Hg,100,1,1.0
Zn,2124,20,0.9416195856873822
Ta,141,1,0.7092198581560284
Cd,269,0,0.0
Y,67,0,0.0
Sc,65,0,0.0
