IDs,metal,motif_class,mechanism_class,oxidation_delta_ilp_minus_reference,full_connectivity_match,metal_connectivity_match,ilp_oxidation,reference_oxidation,ilp_ligands,reference_ligands
ACNCFE,Fe,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,2,0,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2c3c(cccc3c1)[CH-][CH-]2,C1=Cc2cccc3cccc1c23 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ACPIRE,Re,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ACUJUG,V,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,CC(=O)C=C(C)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC([O-])=CC(C)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12
ACUKOB,V,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12,CC(C=C([O-])c1ccccc1)=NN=C([O-])c1ccccc1N || [O-2] || [O-]c1cccc2cccnc12
ACUSAS,Pd,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,COC(=O)C(CCSC)N[P-2](c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],COC(=O)C(CCSC)NP(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-]
ADIBUL,Pt,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,O=P(CN(c1ccccn1)[P-2](c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-],O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1 || [Cl-] || [Cl-]
ADIYOD,Ru,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,COP(OC)OC || COP(OC)OC || COP(OC)OC || CO[P-2](OC)OC || [Cl-] || [Cl-],COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC || [Cl-] || [Cl-]
AFAKAW,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-],CS(C)=O || Cc1ccc(S(=O)(=O)N(Cc2cccc(C)n2)Cc2cccc(C)n2)cc1 || [Cl-] || [Cl-]
AFEDUL,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,4,1,1,6,2,C[S-2](C)=O || C[S-2](C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-],CS(C)=O || CS(C)=O || Nc1ccccc1N=Cc1cc(Br)ccc1[O-] || [Cl-]
AFOYAV,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CN(C)C(C=Cc1ccccc1)=N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(C=Cc1ccccc1)=N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
