IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ALILAI,ok,1,1,1,1,1,1,4,4,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,[O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O || c1cnc2c(c1)ccc1cccnc12,[O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O || c1cnc2c(c1)ccc1cccnc12,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O,[Mo+4]123(=O)(<-N(=C([H])c4c([H])c([H])c([H])c([H])c4O1)N=C(N(N=C(c1c(O[H])c([H])c([H])c([H])c1[H])[H])[H])S2)<-n1c2c(c([H])c([H])c1[H])c([H])c([H])c1c([H])c([H])c([H])n->3c21,
ALOXAB,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CSc1ccccc1[NH-] || Cc1ccc(N=Cc2ccccn2)cc1,CSc1ccccc1[NH-] || Cc1ccc(N=Cc2ccccn2)cc1,CSc1ccccc1[NH-] || Cc1ccc([N-]C=C2C=CC=C[N-]2)cc1,[Pt+2]12(<-S(c3c(N1[H])c([H])c([H])c([H])c3[H])C([H])([H])[H])<-n1c([H])c([H])c([H])c([H])c1C(=N->2c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])[H],
APOFIW,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,halide_containing_no_M_C,Cc1cccc(C)c1N=C1C(=Nc2c(C)cccc2C)C2c3ccccc3C1c1ccccc12 || [Cl-] || [Cl-],Cc1cccc(C)c1N=C1C(=Nc2c(C)cccc2C)C2c3ccccc3C1c1ccccc12 || [Cl-] || [Cl-],Cc1cccc(C)c1[N-]C1=C([N-]c2c(C)cccc2C)C2c3ccccc3C1c1ccccc12 || [Cl-] || [Cl-],[Pd+2]1(<-N(=C2C3([H])c4c(c([H])c([H])c([H])c4[H])C([H])(c4c([H])c([H])c([H])c([H])c43)C2=N->1c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])(Cl)Cl,
AYOPAF,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,carbonyl_like,[C-]#[O+] || [Cl-] || c1ccc(-c2ccccn2)nc1 || c1ccc(Nc2ccccn2)nc1,[C-]#[O+] || [Cl-] || c1ccc(-c2ccccn2)nc1 || c1ccc(Nc2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || [C-]#[O+] || [Cl-] || c1ccc(Nc2ccccn2)nc1,[Ru+2]12(Cl)(<-[C-]#[O+])(<-n3c(-c4n->1c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c3[H])<-n1c(N(c3n->2c([H])c([H])c([H])c3[H])[H])c([H])c([H])c([H])c1[H],
AZEDEP,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,halide_containing_no_M_C,CC(C)CC1Cc2ccccc2C(C2=NC(CC(C)C)Cc3ccccc32)=N1 || [Cl-] || [Cl-],CC(C)CC1Cc2ccccc2C(C2=NC(CC(C)C)Cc3ccccc32)=N1 || [Cl-] || [Cl-],CC(C)CC1Cc2ccccc2C(=C2[N-]C(CC(C)C)Cc3ccccc32)[N-]1 || [Cl-] || [Cl-],[Pd+2]1(Cl)(<-N2=C(C3=N->1C([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1c3c([H])c([H])c([H])c1[H])c1c(c([H])c([H])c([H])c1[H])C([H])([H])C2([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl,
AZEQUR,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,C(=NN=Cc1ccccn1)c1ccccn1 || Cc1c(C)c(C)c(C)c(C)c1C || [Cl-],C(=NN=Cc1ccccn1)c1ccccn1 || Cc1c(C)c(C)c(C)c(C)c1C || [Cl-],C1=C[N-]C(=C[N-]N=Cc2ccccn2)C=C1 || Cc1c(C)c(C)c(C)c(C)c1C || [Cl-],[Ru+2]123456(Cl)(<-n7c([H])c([H])c([H])c([H])c7C(=N->1N=C([H])c1c([H])c([H])c([H])c([H])n1)[H])<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H],
BASLUF,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,Cc1cc(C)c(N=Cc2ccccc2[O-])c(C)c1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,Cc1cc(C)c(N=Cc2ccccc2[O-])c(C)c1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || Cc1cc(C)c(N=Cc2ccccc2[O-])c(C)c1 || c1ccc(-c2ccccn2)nc1,[Ru+2]123(Oc4c([H])c([H])c([H])c([H])c4C(=N->1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])[H])(<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H],
BAWJOB,ok,1,1,0,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,Cc1c[c-]c(N2C=CN(c3ccc(C)cc3)C2)cc1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,Cc1c[c-]c(N2[C]N(c3ccc(C)cc3)C=C2)cc1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || Cc1c[c-]c(N2C=CN(c3ccc(C)cc3)C2)cc1,[Ru+2]123(<-n4c(-c5n->1c([H])c([H])c([H])c5[H])c([H])c([H])c([H])c4[H])(<-n1c(-c4n->2c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c1[H])<-C1N(c2c3c([H])c(C([H])([H])[H])c([H])c2[H])C([H])=C([H])N1c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
BAWJUH,ok,1,1,0,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,CN1C=CN(c2[c-]cc(Br)cc2)C1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,CN1[C]N(c2[c-]cc(Br)cc2)C=C1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || CN1C=CN(c2[c-]cc(Br)cc2)C1 || c1ccc(-c2ccccn2)nc1,[Ru+2]123(<-n4c(-c5n->1c([H])c([H])c([H])c5[H])c([H])c([H])c([H])c4[H])(<-n1c(-c4n->2c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c1[H])<-C1N(c2c3c([H])c(Br)c([H])c2[H])C([H])=C([H])N1C([H])([H])[H],
BAWPUM,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C1C=Cc2cccc3ccc([O-])c1c23 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,O=C1C=Cc2cccc3ccc([O-])c1c23 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || O=C1C=Cc2cccc3ccc([O-])c1c23 || c1ccc(-c2ccccn2)nc1,[Ru+2]123(Oc4c([H])c([H])c5c([H])c([H])c([H])c6c5c4C(=O->1)C([H])=C6[H])(<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H],
