IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ACPIRE,0,ok,0.069047,33,1,,[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(=C(N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H]
ACUJUG,0,ok,0.121504,49,1,,[V+3]123(=O)(Oc4c([H])c([H])c([H])c5c([H])c([H])c([H])n->1c45)<-O=C(c1c([H])c([H])c([H])c([H])c1N([H])[H])N=N->2C(=C(C(C([H])([H])[H])=O->3)[H])C([H])([H])[H]
ACUKOB,0,ok,0.081261,56,1,,[V+3]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(=O)<-O=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])N->2=NC(=O->3)c1c([H])c([H])c([H])c([H])c1N([H])[H]
AFOYAV,0,ok,0.084854,49,1,,[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(c1c([H])c([H])c([H])c([H])c1[H])N=C(C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C([H])([H])[H]
AGOGEJ,0,ok,0.111339,76,1,,[Pd+4](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
ALANRE,0,ok,0.055046,38,1,,[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(C(C([H])([H])[H])=O)=C(C([H])([H])[H])N(C(C([H])([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])[H])[H]
ALILAI,0,ok,0.130779,58,1,,[Mo+4]123(=O)(<-N(=C([H])c4c([H])c([H])c([H])c([H])c4O1)N=C(N(N=C(c1c(O[H])c([H])c([H])c([H])c1[H])[H])[H])S2)<-n1c2c(c([H])c([H])c1[H])c([H])c([H])c1c([H])c([H])c([H])n->3c21
ALOXAB,1,ok,0.116434,45,1,,[Pt+2]12(<-S(c3c(N1[H])c([H])c([H])c([H])c3[H])C([H])([H])[H])<-n1c([H])c([H])c([H])c([H])c1C(=N->2c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])[H]
AMINOA,1,ok,0.393825,82,1,,[C-](#[O+])->[Fe+4]12345(=C(N(C(C(C([H])([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])[H])[Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-C1([H])=C->2([H])C3([H])C->4([H])=C->51[H]
AMIQOE,0,ok,0.091177,78,1,,[Cu+3]123(Cl)[B-](n4nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c4=S->1)(n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->2)n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->3
AMIRAR,1,ok,0.084990,83,1,,[Cu+3]123([B-](n4nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c4=S->1)(n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->2)n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1=S->3)<-N#CC([H])([H])[H]
APOFIW,0,ok,0.088960,65,1,,[Pd+2]1(<-N(=C2C3([H])c4c(c([H])c([H])c([H])c4[H])C([H])(c4c([H])c([H])c([H])c([H])c43)C2=N->1c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])(Cl)Cl
APUYOB,0,ok,0.095028,67,1,,Br[Cu+3]=C1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c3c2c(c([H])c([H])c3[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
AQEXIE,0,ok,0.105508,77,1,,[Ni+2]1(<-O=C2c3c(c([H])c([H])c([H])c3-c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C2=C(N1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])[H])(<-n1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H]
ASAVOH,-1,ok,0.176560,51,1,,[Mn+3]123(<-N4=c5c(c([H])c([H])c([H])c5[H])=N->1C(=O)C(C([H])([H])[H])(C([H])([H])[H])N2C(=O)C(C([H])([H])[H])(C([H])([H])[H])C(=O)N3C(C([H])([H])[H])(C([H])([H])[H])C4=O)=O
ATODEU,0,ok,0.089658,60,1,,C1([H])=C([H])C([H])=C2C3=C4C(=C([H])C([H])=C([H])N4[Pt+4](Cl)(Cl)N13)C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
ATODIY,0,ok,0.069969,60,1,,C1([H])=C([H])C([H])=C2C3=C4C(=C([H])C([H])=C([H])N4[Pd+4](Cl)(Cl)N13)C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
AXUFOO,0,ok,0.090531,73,1,,[Zn+2](Cl)(Cl)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AXUFUU,0,ok,0.079584,73,1,,[Zn+2](Br)(Br)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AXUGAB,0,ok,0.083291,73,1,,[Zn+2](I)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])(I)Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AYOPAF,1,ok,0.091573,46,1,,[Ru+2]12(Cl)(<-[C-]#[O+])(<-n3c(-c4n->1c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c3[H])<-n1c(N(c3n->2c([H])c([H])c([H])c3[H])[H])c([H])c([H])c([H])c1[H]
AYUNIT,1,ok,0.072654,47,1,,c1([H])c([H])c2c([H])c([H])c([H])c3c2c2c4c5c3c([H])c([H])c([H])c5c([H])c([H])n4[Re+3](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-N(C([H])([H])[H])(C([H])([H])[H])[H])n12
AZEDEP,0,ok,0.089249,63,1,,[Pd+2]1(Cl)(<-N2=C(C3=N->1C([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1c3c([H])c([H])c([H])c1[H])c1c(c([H])c([H])c([H])c1[H])C([H])([H])C2([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl
AZEQUR,1,ok,0.129394,58,1,,[Ru+2]123456(Cl)(<-n7c([H])c([H])c([H])c([H])c7C(=N->1N=C([H])c1c([H])c([H])c([H])c([H])n1)[H])<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H]
BASLUF,1,ok,0.172733,75,1,,[Ru+2]123(Oc4c([H])c([H])c([H])c([H])c4C(=N->1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])[H])(<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H]
BASWEZ,0,ok,0.061969,46,1,,[Au+3](Cl)=C1C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N1c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H]
BASWID,0,ok,0.052619,40,1,,[Au+3](Cl)=C1N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]
BAWJOB,1,ok,0.173877,75,1,,[Ru+2]123(<-n4c(-c5n->1c([H])c([H])c([H])c5[H])c([H])c([H])c([H])c4[H])(<-n1c(-c4n->2c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c1[H])<-C1N(c2c3c([H])c(C([H])([H])[H])c([H])c2[H])C([H])=C([H])N1c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
BAWJUH,1,ok,0.150477,62,1,,[Ru+2]123(<-n4c(-c5n->1c([H])c([H])c([H])c5[H])c([H])c([H])c([H])c4[H])(<-n1c(-c4n->2c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c1[H])<-C1N(c2c3c([H])c(Br)c([H])c2[H])C([H])=C([H])N1C([H])([H])[H]
BAWPUM,1,ok,0.201518,63,1,,[Ru+2]123(Oc4c([H])c([H])c5c([H])c([H])c([H])c6c5c4C(=O->1)C([H])=C6[H])(<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H]
BAXFIQ,0,ok,0.085021,77,1,,[Pt+2](<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])[H])([Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])[H])<-[C-]#[N+]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
BEFMUX,0,ok,0.097449,81,1,,[Ti+4]12(Cl)(<-O3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])(N(C([H])([H])[H])C([H])([H])[H])<-[C-]3=[N+](C([H])(c4c([H])c([H])c([H])c([H])c4[H])C([H])(c4c([H])c([H])c([H])c([H])c4[H])N3C([H])([H])c3c(c([H])c([H])c([H])c3[H])O1)C([H])([H])c1c(c([H])c([H])c([H])c1[H])O2
