IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
ACPIRE,ok,1,1,1,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]Nc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-2]Nc1ccccc1 || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])([C+](N(c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H])C(=O)C([H])([H])[H],
AMIQOE,ok,1,1,1,1,1,0,1,1,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],[Cu+]123(Cl)->B(N4N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C4=S->1)(N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->2)N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->3,
AMIRAR,ok,1,1,1,1,1,0,1,1,,coupled_ligand_charge_and_oxidation,S_Se_donor_no_M_C,CC#N || Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,CC#N || Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,CC#N || Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,[Cu+]123(->B(N4N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C4=S->1)(N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->2)N1N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C1=S->3)<-N#CC([H])([H])[H],
APUYOB,ok,1,1,1,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C-2]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Br[Cu+][C+]1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c3c2c(c([H])c([H])c3[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
ASAVOH,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC1(C)[N-]C(=O)C(C)(C)C(=O)[N-]C(C)(C)C(=O)[N-]c2ccccc2[N-]C1=O || [O-2],CC1(C)[N-]C(=O)C(C)(C)C(=O)[N-]C(C)(C)C(=O)[N-]c2ccccc2[N-]C1=O || [O-2],CC1(C)[N-]C(=O)C(C)(C)C(=O)[N-]C(C)(C)C(=O)N=c2ccccc2=NC1=O || [O-2],[Mn+5]123(=O)N4C(=O)C(C([H])([H])[H])(C([H])([H])[H])N1C(=O)C(C([H])([H])[H])(C([H])([H])[H])C(=O)N2C(C([H])([H])[H])(C([H])([H])[H])C(=O)N3c1c4c([H])c([H])c([H])c1[H],
ATODEU,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,halide_containing_no_M_C,CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)C2=CC=C[N-]C2=C2[N-]C=CC=C21 || [Cl-] || [Cl-],c1([H])c([H])c([H])c2c3n1->[Pt+2](Cl)(Cl)<-n1c-3c(c([H])c([H])c1[H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],
ATODIY,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,halide_containing_no_M_C,CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)C2=CC=C[N-]C2=C2[N-]C=CC=C21 || [Cl-] || [Cl-],c1([H])c([H])c([H])c2c3n1->[Pd+2](Cl)(Cl)<-n1c-3c(c([H])c([H])c1[H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],
AYUNIT,ok,1,1,1,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,carbonyl_like,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2ccnc3c4nccc5cccc(c(c1)c23)c54,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2ccnc3c4nccc5cccc(c(c1)c23)c54,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2cc[n-]c3c4[n-]ccc5cccc(c(c1)c23)c54,c1([H])c([H])c2c([H])c([H])c([H])c3c2c2c4c5c3c([H])c([H])c([H])c5c([H])c([H])n4->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n12)<-N(C([H])([H])[H])(C([H])([H])[H])[H],
BASWEZ,ok,1,1,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,[Cl-] || c1ccc(CN2CCN(c3ccccc3-c3ccccc3)C2)cc1,[C]1CN(Cc2ccccc2)CN1c1ccccc1-c1ccccc1 || [Cl-],[C-2]1CN(Cc2ccccc2)CN1c1ccccc1-c1ccccc1 || [Cl-],[Au+](Cl)<-C1C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N1c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H],
BASWID,ok,1,1,0,1,1,1,1,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,COc1ccc(N2CCN(Cc3ccccc3)C2)cc1 || [Cl-],COc1ccc(N2[C]CN(Cc3ccccc3)C2)cc1 || [Cl-],COc1ccc(N2[C-2]CN(Cc3ccccc3)C2)cc1 || [Cl-],[Au+](Cl)<-C1N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],
