IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp,treatment,edge_changed,result_source
ABAFOZ,0,ok,0.1664,85,1,,[Pd+2]12(<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])Oc1c(c3c([H])c([H])c([H])c([H])c3c([H])c1C([H])([H])[H])-c1c(c(C([H])([H])[H])c([H])c3c1c([H])c([H])c([H])c3[H])O2,ligand_only,0,baseline_reused
ABAFUF,0,ok,0.0494,47,1,,[Pd+2]1(Cl)(Cl)<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H],ligand_only,0,baseline_reused
ABAGAM,0,ok,0.1300,71,1,,[Pd+2]1(Cl)(Cl)<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12)([H])[H])([H])[H])([H])[H])C(c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12)([H])[H],ligand_only,0,baseline_reused
ABAJAP,1,ok,0.0628,62,1,,[Ni+2]123(Sc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])<-N4(C([H])([H])c5n->1c([H])c([H])c([H])c5[H])C([H])([H])C([H])([H])C([H])([H])N->2(C([H])([H])c1n->3c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C4([H])[H],ligand_only,0,baseline_reused
ABAJET,1,ok,0.0615,62,1,,[Zn+2]123(Sc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])<-N4(C([H])([H])c5n->1c([H])c([H])c([H])c5[H])C([H])([H])C([H])([H])C([H])([H])N->2(C([H])([H])c1n->3c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C4([H])[H],ligand_only,0,baseline_reused
ABAJIZ,0,ok,0.0566,33,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])=C([H])[H],ligand_only,0,baseline_reused
ABAJOF,0,ok,0.0584,33,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])([H])O[H],ligand_only,0,baseline_reused
ABAKAS,0,ok,0.0306,30,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])C#N)C([H])=C([H])N1C([H])([H])[H],ligand_only,0,baseline_reused
ABAKIA,0,ok,0.1047,57,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])=C([H])N1C([H])([H])c1c([H])c([H])c(C([H])=O)c([H])c1[H],ligand_only,0,baseline_reused
ABAKOG,0,ok,0.0772,46,1,,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])(OC(C([H])([H])[H])([H])[H])OC([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
ABANUN,0,ok,0.0371,24,1,,[Au+3](I)(I)(I)<-P(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ABAPAV,0,ok,0.0412,33,1,,[Au+](<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])I,ligand_only,0,baseline_reused
ABASEC,1,ok,0.0734,47,1,,[Ni+2]123<-N([O-])=C(C(N->1([H])C([H])([H])C([H])([H])C([H])([H])N->2([H])C(C(=N->3O[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABATED,0,ok,0.1325,64,1,,[Co+]123456(<-c7([H])c->1(C([H])([H])[H])c->2([H])c->3([H])c->4([H])c->57[H])<-N(c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])=C(C([H])=C(C([H])([H])[H])N6c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABAVAA,0,ok,0.0601,54,1,,[Hg+2]([Si](Cl)(C1(C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])C(C([H])([H])[H])=C1C([H])([H])[H])C1(C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])C(C([H])([H])[H])=C1C([H])([H])[H])Cl,ligand_only,0,baseline_reused
ABAXIK,1,ok,0.0430,39,1,,I[Fe+2]12(<-N3(C([H])([H])[H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C3([H])[H])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABAZIO,0,ok,0.1057,76,1,,[Pd+2]1(<-P(c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c2c(C([H])([H])N->1(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2[H])OC(=O)C(F)(F)F,ligand_only,0,baseline_reused
ABEFUI,0,ok,0.0764,62,1,,[Zr+4]1(Cl)(Cl)(<-O2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(<-O2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])N1c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ABEGOG,0,ok,0.0704,44,1,,[Zn+2]12(OC(=O)C(c3n->1c1n(c3[H])c([H])c([H])c([H])c1[H])([H])[H])(<-O([H])[H])OC(=O)C(c1n->2c2n(c1[H])c([H])c([H])c([H])c2[H])([H])[H],ligand_only,0,baseline_reused
ABEPAA,1,ok,0.0698,64,1,,[Ni+2](Cl)(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-C1N(C([H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1[H],ligand_only,0,baseline_reused
ABEPEE,1,ok,0.0700,64,1,,[Ni+2](Cl)(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-C1N(C([H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1[H],ligand_only,0,baseline_reused
ABEWOT,1,ok,0.1428,84,1,,[Ru+2]123456(<-P7(c8c([H])c([H])c([H])c([H])c8[H])C8([H])C(C([H])([H])[H])=C(C([H])([H])[H])C7([H])C7([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])C8([H])C(C([H])([H])[H])=C7C([H])([H])[H])(Cl)<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H],ligand_only,0,baseline_reused
ABEWUZ,1,ok,0.1586,84,1,,[Ru+2]123456(<-P7(c8c([H])c([H])c([H])c([H])c8[H])C8([H])C9([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])C9(C([H])([H])[H])C7([H])C(C([H])([H])[H])=C8C([H])([H])[H])(Cl)<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H],ligand_only,0,baseline_reused
ABEXAG,0,ok,0.0928,59,1,,[Ru+2]12345(<-P6(c7c([H])c([H])c([H])c([H])c7[H])C([H])([H])C(=C([H])[H])C(C([H])([H])[H])=C6[H])(Cl)(Cl)<-c6(C([H])([H])[H])c->1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->56C([H])([H])[H],ligand_only,0,baseline_reused
ABEYUD,1,ok,0.0655,44,1,,[Re+](<-n1c([H])c([H])c([H])c([H])c1N([H])[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABEZAJ,0,ok,0.0882,74,1,,C12(C([H])([H])[H])N(C([H])([H])[H])(C([H])([H])[H])->[Ti+4](Cl)(N(C([H])([H])[H])C([H])([H])[H])(N1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c2c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ABEZEO,1,ok,0.0625,44,1,,[Re+](<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])c([H])c([H])c(N([H])[H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABEZIS,1,ok,0.0628,44,1,,[Re+](<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])c([H])c([H])c(N([H])[H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABICIY,1,ok,0.0840,63,1,,[Rh+]1234(<-N5=C(N6C([H])=C([H])N(c7c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c7C([H])([H])[H])C->16)OC([H])([H])C5(C([H])([H])[H])C([H])([H])[H])<-C1([H])=C->2([H])C([H])([H])C([H])([H])C->3([H])=C->4([H])C([H])([H])C1([H])[H],ligand_only,0,baseline_reused
ABICUK,0,ok,0.0655,46,1,,[Rh+]1(Br)(<-[C-]#[O+])<-C2N(c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])C([H])=C([H])N2C2=N->1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O2,ligand_only,0,baseline_reused
ABIDIB,0,ok,0.0842,73,1,,[Pd+2](OC(=O)C([H])([H])[H])(<-N([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(OC(=O)C([H])([H])[H])<-N([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABIFEZ,0,ok,0.0806,77,1,,[Pd+2](OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-N([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-N([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABIKAY,0,ok,0.0440,31,1,,[Ru]12(<-n3c([Si](C->1(=C->2([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABIPAE,0,ok,0.0731,57,1,,[Mo]12(<-n3c([H])c([H])c([H])c([H])c3C(N->13C([H])([H])C([H])([H])C([H])([H])C3([H])C1([H])N->2(C([H])([H])c2nc([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABIQIN,0,ok,0.0516,38,1,,O1->[Re+5]23(=O)(<-O=C(C(=C(N2C([H])([H])C([H])([H])N3C(=C(C=1C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])C#N,ligand_only,0,baseline_reused
ABIQOR,0,ok,0.0618,84,1,,[Ti+4]1(=Nc2c(C(C([H])([H])[H])(C([H])([H])[H])[H])c([H])c([H])c([H])c2C(C([H])([H])[H])(C([H])([H])[H])[H])(<-N2(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H])(Cl)Cl,ligand_only,0,baseline_reused
ABIQUX,0,ok,0.0607,67,1,,[Ti+4]1(=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-N2(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])N->1(C([H])([H])[H])C2([H])[H])(C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H],ligand_only,0,baseline_reused
ABISIO,1,ok,0.0956,67,1,,[Au+](<-C1N(C([H])([H])c2nc([H])c([H])c([H])c2[H])C([H])=C([H])N1C([H])([H])c1nc([H])c([H])c([H])c1[H])<-C1N(C([H])([H])c2nc([H])c([H])c([H])c2[H])C([H])=C([H])N1C([H])([H])c1nc([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ABITEM,0,ok,0.0697,47,1,,[Fe+2]123(<-n4c([H])c([H])c([H])c([H])c4C(N->1(C(c1n->2c([H])c([H])c([H])c1[H])([H])[H])C(c1n->3c([H])c([H])c([H])c1[H])([H])[H])([H])[H])(N=C=S)N=C=S,ligand_only,0,baseline_reused
ABITEN,1,ok,0.0642,41,1,,[Mn+]12345(<-[C-]#[O+])(<-c6([H])c->1(-c1c([H])c([H])c([H])c7c([H])c([H])c([H])c(C([H])([H])[H])c17)c->2([H])c->3([H])c->4(C([H])([H])[H])c->56[H])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
