IDs,charge,in_graph_consensus,status,validated,extraction_method,n_atoms,n_edges,n_heavy_edges,edges_0,error
ABAFOZ,0,1,ok,1,fast_binary,85,92,52,0-2;0-5;0-7;0-8;1-2;1-45;1-46;1-47;2-3;2-9;3-4;3-48;3-49;4-5;4-50;4-51;5-6;5-16;6-52;6-53;6-54;7-34;8-23;9-10;9-55;9-56;10-11;10-15;11-12;11-57;12-13;12-58;13-14;13-59;14-15;14-60;15-61;16-17;16-62;16-63;17-18;17-22;18-19;18-64;19-20;19-65;20-21;20-66;21-22;21-67;22-68;23-24;23-32;24-25;24-35;25-26;25-30;26-27;26-69;27-28;27-70;28-29;28-71;29-30;29-72;30-31;31-32;31-73;32-33;33-74;33-75;33-76;34-35;34-43;35-36;36-37;36-41;37-38;37-77;38-39;38-78;39-40;39-79;40-41;40-80;41-42;42-43;42-81;43-44;44-82;44-83;44-84,
ABAFUF,0,1,ok,1,fast_binary,47,49,25,0-1;0-2;0-4;0-7;3-4;3-23;3-24;3-25;4-5;4-9;5-6;5-26;5-27;6-7;6-28;6-29;7-8;7-16;8-30;8-31;8-32;9-10;9-33;9-34;10-11;10-15;11-12;11-35;12-13;12-36;13-14;13-37;14-15;14-38;15-39;16-17;16-40;16-41;17-18;17-22;18-19;18-42;19-20;19-43;20-21;20-44;21-22;21-45;22-46,
ABAGAM,0,1,ok,1,fast_binary,71,77,45,0-1;0-2;0-4;0-7;3-4;3-39;3-40;3-41;4-5;4-9;5-6;5-42;5-43;6-7;6-44;6-45;7-8;7-24;8-46;8-47;8-48;9-10;9-49;9-50;10-11;10-23;11-12;11-16;12-13;12-51;13-14;13-52;14-15;14-53;15-16;15-54;16-17;17-18;17-55;18-19;18-23;19-20;19-56;20-21;20-57;21-22;21-58;22-23;22-59;24-25;24-60;24-61;25-26;25-38;26-27;26-31;27-28;27-62;28-29;28-63;29-30;29-64;30-31;30-65;31-32;32-33;32-66;33-34;33-38;34-35;34-67;35-36;35-68;36-37;36-69;37-38;37-70,
ABAJAP,1,1,ok,1,fast_binary,62,68,37,0-1;0-2;0-3;0-4;0-5;1-48;2-6;2-21;2-24;3-12;3-15;3-36;4-27;4-34;5-39;5-46;6-7;6-8;6-9;9-10;9-11;9-12;12-13;12-14;15-16;15-17;15-18;18-19;18-20;18-21;21-22;21-23;24-25;24-26;24-27;27-28;28-29;28-30;30-31;30-32;32-33;32-34;34-35;36-37;36-38;36-39;39-40;40-41;40-42;42-43;42-44;44-45;44-46;46-47;48-49;48-56;49-50;49-51;51-52;51-53;53-54;53-58;54-55;54-56;56-57;58-59;58-60;58-61,
ABAJET,1,1,ok,1,fast_binary,62,68,37,0-1;0-2;0-6;0-10;0-14;1-48;2-3;2-21;2-24;3-4;3-5;3-7;6-11;6-15;6-36;7-8;7-9;7-11;10-27;10-34;11-12;11-13;14-39;14-46;15-16;15-17;15-18;18-19;18-20;18-21;21-22;21-23;24-25;24-26;24-27;27-28;28-29;28-30;30-31;30-32;32-33;32-34;34-35;36-37;36-38;36-39;39-40;40-41;40-42;42-43;42-44;44-45;44-46;46-47;48-49;48-56;49-50;49-51;51-52;51-53;53-54;53-58;54-55;54-56;56-57;58-59;58-60;58-61,
ABAJIZ,0,1,ok,1,fast_binary,33,34,19,0-27;0-28;0-32;1-2;1-3;1-27;3-4;3-28;5-6;5-7;5-8;5-27;9-10;9-11;9-12;9-28;12-13;12-14;14-15;14-16;17-18;17-19;17-29;19-20;19-21;21-22;21-23;23-24;23-25;25-26;25-29;29-32;30-32;31-32,
ABAJOF,0,1,ok,1,fast_binary,33,34,19,0-25;0-26;0-32;1-2;1-3;1-25;3-4;3-26;5-6;5-7;5-8;5-25;9-10;9-11;9-12;9-26;12-13;12-14;12-28;15-16;15-17;15-27;17-18;17-19;19-20;19-21;21-22;21-23;23-24;23-27;27-32;28-29;30-32;31-32,
ABAKAS,0,1,ok,1,fast_binary,30,31,19,0-23;0-24;0-29;1-2;1-3;1-23;3-4;3-24;5-6;5-7;5-8;5-23;8-25;9-10;9-11;9-12;9-24;13-14;13-15;13-26;15-16;15-17;17-18;17-19;19-20;19-21;21-22;21-26;26-29;27-29;28-29,
ABAKIA,0,1,ok,1,fast_binary,57,60,34,0-48;0-49;0-56;1-2;1-3;1-48;3-4;3-49;5-6;5-7;5-8;5-48;8-9;8-10;8-50;11-12;11-13;11-14;11-50;14-15;14-16;14-52;17-18;17-19;17-20;17-52;20-21;20-22;20-50;23-24;23-25;23-26;23-49;26-27;26-34;27-28;27-29;29-30;29-31;31-32;31-36;32-33;32-34;34-35;36-37;36-53;38-39;38-40;38-51;40-41;40-42;42-43;42-44;44-45;44-46;46-47;46-51;51-56;54-56;55-56,
ABAKOG,0,1,ok,1,fast_binary,46,47,24,0-38;0-39;0-45;1-2;1-3;1-38;3-4;3-39;5-6;5-7;5-8;5-38;9-10;9-11;9-12;9-39;12-13;12-41;12-42;14-15;14-16;14-17;14-18;18-19;18-20;18-41;21-22;21-23;21-24;21-42;24-25;24-26;24-27;28-29;28-30;28-40;30-31;30-32;32-33;32-34;34-35;34-36;36-37;36-40;40-45;43-45;44-45,
