CSD_code,SMILES_tmQM,q,s,metal_symbol,coordination_number_tmQM,SMILES_CSD_fixed,coordination_number_CSD_fixed,SMILES_G
VUCVUN,Cc1ccc([B-]23c4cccc5[B-]6(c7ccc(C)cc7)n7cccn7->[Sc+3](<-n45)(<-n4cccn42)(<-n2cccn23)(<-n2cccn26)<-O2CCCC2)cc1,1,0,Sc,6,Cc1ccc([B-]23c4cccc5[B-]6(c7ccc(C)cc7)[n+]7ccc[n-]7->[Sc+3](<-n45)(<-[n-]4ccc[n+]42)(<-[n-]2ccc[n+]23)(<-[n-]2ccc[n+]26)<-O2CCCC2)cc1,6.0,Cc1ccc([B-]23c4cccc5[B-]6(c7ccc(C)cc7)n+7ccc[n-:2Π]7->[Sc+3Π](<-[n:1↑]45)(<-[n-:5Π]4cccn+42)(<-[n-:4Π]2cccn+23)(<-[n-:3Π]2cccn+26)<-[O:6↓]2CCCC2)cc1
IWAGOE,CN(C)C=O->[Y+3](<-O)(<-O)(<-O=CN(C)C)(<-O=CN(C)C)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,0,0,Y,8,CN(C)C=O->[Y+3](<-O)(<-O)(<-O=CN(C)C)(<-O=CN(C)C)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,8.0,
BEGZOG,CC(C)(C)P1(Oc2cccc3OP(C(C)(C)C)(C(C)(C)C)->[Sc+3]<-1(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[c-]23)C(C)(C)C,0,0,Sc,5,CC(C)(C)P1(Oc2cccc3OP(C(C)(C)C)(C(C)(C)C)->[Sc+3]<-1(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[c-]23)C(C)(C)C,5.0,
JIXWUM,CC(C)(C)c1cccc(C(C)(C)C)c1[O-]->[Sc+3]1(<-[O-]c2c(C(C)(C)C)cccc2C(C)(C)C)<-[S-]P(c2ccccc2)(c2ccccc2)=N->1C(C)(C)C,0,0,Sc,4,CC(C)(C)c1cccc(C(C)(C)C)c1[O-]->[Sc+3]1(<-[O-]c2c(C(C)(C)C)cccc2C(C)(C)C)<-S=P(c2ccccc2)(c2ccccc2)[N-]->1C(C)(C)C,4.0,CC(C)(C)c1cccc(C(C)(C)C)c1[O-:4Π↓]->[Sc+3]1(<-[O-:3Π↓]c2c(C(C)(C)C)cccc2C(C)(C)C)<-[S:2Π↓]=P(c2ccccc2)(c2ccccc2)[N-:1↑]->1C(C)(C)C
WALKED,CN1CCN2(Cc3ccc4CN56->[Y+3]<-2(<-[Cl-])(<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[n-]34)<-N(C)(CC5)CC6)CC1,0,0,Y,6,CN1CCN2(Cc3ccc4CN56->[Y+3]<-2(<-[Cl-])(<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[n-]34)<-N(C)(CC5)CC6)CC1,6.0,
FATZEJ,CC1(C)[c-]23->[Y+3]456789%10(<-[CH2-][Si](C)(C)C)(<-c(c->42)c->52c4ccccc4ccc->623)(<-c2c->7[c-]->81c->91ccc3ccccc3c->%1021)<-O1CCCC1,0,0,Y,12,CC1(C)c23->[Y+3]456789%10(<-[CH2-][Si](C)(C)C)(<-c%11c->4[c-]->54c5ccccc5ccc->64c->7%111)(<-c([cH-]->82)c->91c2ccccc2ccc->%1031)<-O1CCCC1,12.0,
ARUXET,CN(C)C=C([O-]->[Y+3]123(<-O=C(CN->1(C)C)C(C)(C)C)(<-[O-]C(=CN->2(C)C)C(C)(C)C)<-[O-]C(=CN->3(C)C)C(C)(C)C)C(C)(C)C,0,0,Y,7,CN(C)C=C([O-]->[Y+3]123(<-O=C(CN->1(C)C)C(C)(C)C)(<-[O-]C(=CN->2(C)C)C(C)(C)C)<-[O-]C(=CN->3(C)C)C(C)(C)C)C(C)(C)C,7.0,
LORHEI,C[Si](C)(C)[O-]->[Y+3](<-[O-][Si](C)(C)C)(<-n1ccccc1)(<-n1ccccc1)(<-n1ccccc1)(<-n1ccccc1)<-n1ccccc1,1,0,Y,7,C[Si](C)(C)[O-]->[Y+3](<-[O-][Si](C)(C)C)(<-n1ccccc1)(<-n1ccccc1)(<-n1ccccc1)(<-n1ccccc1)<-n1ccccc1,7.0,
NURLUK,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+]234(<-c5c6ccccc6c->2c->32ccccc->452)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,-1,0,Sc,6,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+3]2(<-[CH-]3c4ccccc4[CH-]->2c2ccccc23)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,4.0,
MICLOD,CC1(C)CCC(C)(C)c2cc34->[Y+]5678(<-[CH][Si](C)(C)C)(<-[CH][Si](C)(C)C)(<-n9ccccc9Cc->5(c->63cc21)c->71cc2c(c[c-]->814)C(C)(C)CCC2(C)C)<-O1CCCC1,0,0,Y,9,CC1(C)CCC(C)(C)c2cc34->[Y+3]5678(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-n9ccccc9Cc->5(c->63cc21)[c-]->71cc2c(cc->841)C(C)(C)CCC2(C)C)<-O1CCCC1,9.0,
EWUHUC,C[N+]1c2ccccn2->[Y+3](<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)<-[si]=12n(C(C)(C)C)[c-](-c1ccccc1)n2C(C)(C)C,0,0,Y,5,CN1c2ccccn2->[Y+3](<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)<-[si-]12n(C(C)(C)C)c(-c1ccccc1)[n+]2C(C)(C)C,5.0,
TEXDOT,CC(C)N1=C(N([Si](C)(C)C)[Si](C)(C)C)[N-](C(C)C)->[Y+3]<-123456(<-c1c([B-](c7ccccc7)(c7ccccc7)c7ccccc7)c->2c->3c->4c->51)<-N(=C(N([Si](C)(C)C)[Si](C)(C)C)[N-]->6C(C)C)C(C)C,0,0,Y,9,CC(C)N1=C(N([Si](C)(C)C)[Si](C)(C)C)[N-](C(C)C)->[Y+3]<-1234567(<-c1c->2c->3c->4([B-](c2ccccc2)(c2ccccc2)c2ccccc2)c->5c->61)<-N(=C(N([Si](C)(C)C)[Si](C)(C)C)[N-]->7C(C)C)C(C)C,10.0,
QEWPOB,Cc1cc(C)n2->[Y+3]34(<-n5c(C)cc(C)n5[BH-](n12)n1c(C)cc(C)n->31)(<-[N-]([SiH2]c1ccccc1)C(=C[Si](C)(C)[N-]->4[Si](C)(C)C)Cc1ccc(F)cc1)<-O1CCCC1,0,0,Y,6,,,
WIQQIA,CC(C)(C)c1cc(C(C)(C)C)cc(C([O-]->[Y+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-O2CCCC2)(<-O2CCCC2)<-O2CCCC2)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c1,0,0,Y,6,CC(C)(C)c1cc(C(C)(C)C)cc(C([O-]->[Y+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-O2CCCC2)(<-O2CCCC2)<-O2CCCC2)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c1,6.0,
XIGZUM,Cc12->[Sc+3]34567(<-[CH2-]c8ccccc8N->3(C)C)(<-[CH2-]c3ccccc3N->4(C)C)<-c13c->5([c-]->6(C)c->72C)CCCC3,0,0,Sc,9,Cc12->[Sc+3]34567(<-[CH2-]c8ccccc8N->3(C)C)(<-[CH2-]c3ccccc3N->4(C)C)<-c13c->5(c->6(C)[c-]->72C)CCCC3,9.0,
REKTOS,CC1(C)CCCC(C)(C)N12[O-]->[Y+3]<-2(<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-O1CCCC1,0,0,Y,5,CC1(C)CCCC(C)(C)N12[O-]->[Y+3]<-2(<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-O1CCCC1,5.0,
AZUKEO,Cc1ccc2[O-]->[Y+3]3456(<-[Cl-])<-[O-]c7ccc(C)cc7CN->3(CCN->4(Cc2c1)Cc1ccc(F)cn->51)Cc1ccc(F)cn->61,0,0,Y,7,Cc1ccc2[O-]->[Y+3]3456(<-[Cl-])<-[O-]c7ccc(C)cc7CN->3(CCN->4(Cc2c1)Cc1ccc(F)cn->51)Cc1ccc(F)cn->61,7.0,
GUQVOG,CN1CCCC1=O->[Sc+17]1(<-O=C2CCCN2C)(<-[O-]c2c(N([O-])[O-])cc(N([O-])[O-])cc2N([O-])[O-])(<-[O-]c2c(N([O-])[O-])cc(N([O-])[O-])cc2[N+](=O)[O-])<-[O-]c2c(N([O-])[O-]->1)cc(N([O-])[O-])cc2[N+](=O)[O-],0,0,Sc,6,CN1CCCC1=O->[Sc+3]1(<-O=C2CCCN2C)(<-[O-]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])(<-[O-]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])<-[O-]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-]->1,6.0,CN1CCCC1=[O:5Π]->[Sc+3]1(<-[O:1Π]=C2CCCN2C)(<-[O-:3Π]c2c(N+(=O)O-)cc(N+(=O)O-)cc2N+(=O)O-)(<-[O-:2Π]c2c(N+(=O)O-)cc(N+(=O)O-)cc2N+(=O)O-)<-[O-:6Π]c2c(N+(=O)O-)cc(N+(=O)O-)cc2N+(=O)[O-:4Π]->1
IMESOL,CCCCC1=N(C(C)C)->[Sc+3]2345(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-[N-]1C(C)C)<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C,-1,0,Sc,9,CCCCC1=N(C(C)C)->[Sc+3]2345(<-[N-]=[N+]=[N-])(<-[N-]=[N+]=[N-])(<-[N-]1C(C)C)<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C,9.0,
DOTLED,CP(=O->[Y+3]123(<-O=P(C)(c4ccccc4)c4ccccc4)(<-O=P(C)(c4ccccc4)c4ccccc4)(<-[O-][N+](=O)[O-]->1)(<-[O-][N+](=O)[O-]->2)<-[O-][N+](=O)[O-]->3)(c1ccccc1)c1ccccc1,0,0,Y,9,C[P]([O-]->[Y+6]123(<-[O-][N+](=O)[O-]->1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)(<-[O-][P](C)(c1ccccc1)c1ccccc1)<-[O-][P](C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,9.0,
