CSD_code,total_charge,fixed_CSD_SMILES,NBO,xyz2mol_tm,TMC-LewisGen
ABAFOZ,0,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,Cc1cc2ccccc2c2-c3c([O-]->[Pd@SP3+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,[Pd+2]12(<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])Oc1c(c3c([H])c([H])c([H])c([H])c3c([H])c1C([H])([H])[H])-c1c(c(C([H])([H])[H])c([H])c3c1c([H])c([H])c([H])c3[H])O2
ABAFUF,0,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,[Pd+2]1(Cl)(Cl)<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H]
ABAGAM,0,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,[Pd+2]1(Cl)(Cl)<-N(C([H])([H])[H])(C(C(N->1(C([H])([H])[H])C(c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12)([H])[H])([H])[H])([H])[H])C(c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12)([H])[H]
ABAJAP,1,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,[Ni+2]123(Sc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])<-N4(C([H])([H])c5n->1c([H])c([H])c([H])c5[H])C([H])([H])C([H])([H])C([H])([H])N->2(C([H])([H])c1n->3c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C4([H])[H]
ABAJET,1,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,[Zn+2]123(Sc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])<-N4(C([H])([H])c5n->1c([H])c([H])c([H])c5[H])C([H])([H])C([H])([H])C([H])([H])N->2(C([H])([H])c1n->3c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C4([H])[H]
ABAJIZ,0,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])=C([H])[H]
ABAJOF,0,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])([H])O[H]
ABAKAS,0,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])C#N)C([H])=C([H])N1C([H])([H])[H]
ABAKIA,0,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])=C([H])N1C([H])([H])c1c([H])c([H])c(C([H])=O)c([H])c1[H]
ABAKOG,0,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,C1(->[Pt+2](<-n2c([H])c([H])c([H])c([H])c2[H])(I)I)N(C([H])([H])[H])C([H])=C([H])N1C([H])([H])C([H])(OC(C([H])([H])[H])([H])[H])OC([H])([H])C([H])([H])[H]
ABANUN,0,CP(C)(c1ccccc1)->[Au+3](<-[I-])(<-[I-])<-[I-],CP(C)(c1ccccc1)->[Au+3](<-[I-])(<-[I-])<-[I-],CP(C)(c1ccccc1)->[Au+3](<-[I-])(<-[I-])<-[I-],[Au+3](I)(I)(I)<-P(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
ABAPAV,0,CC(C)P(->[Au+]<-[I-])(C(C)C)C(C)C,CC(C)P(->[Au+]<-[I-])(C(C)C)C(C)C,CC(C)P(->[Au+]<-[I-])(C(C)C)C(C)C,[Au+](<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])I
ABASEC,1,CC1=N([O-])->[Ni+2]23<-N(O)=C(C)C(C)(C)N->2CCCN->3C1(C)C,C/C1=N(\[O-])->[Ni@SP1+2]23<-N(/O)=C(/C)C(C)(C)N->2CCCN->3C1(C)C,CC1=N([O-])->[Ni+2]23<-N(O)=C(C)C(C)(C)N->2CCCN->3C1(C)C,[Ni+2]123<-N([O-])=C(C(N->1([H])C([H])([H])C([H])([H])C([H])([H])N->2([H])C(C(=N->3O[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
