IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAFOZ,Cc1cc2ccccc2c2-c3c([O-]->[Pd@SP3+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,C40 H40 N2 O2 Pd1,0.0,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31
ABAFUF,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,C18 H24 Cl2 N2 Pd1,0.0,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1
ABAGAM,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,C34 H32 Cl2 N2 Pd1,0.0,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12
ABAJAP,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,C25 H31 N4 Ni1 S1 1+,1.0,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
ABAJET,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,C25 H31 N4 S1 Zn1 1+,1.0,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
ABAJIZ,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C12 H15 I2 N3 Pt1,0.0,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
ABAJOF,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C11 H15 I2 N3 O1 Pt1,0.0,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
ABAKAS,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C11 H12 I2 N4 Pt1,0.0,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
ABAKIA,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,C22 H26 I2 N4 O2 Pt1,0.0,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1
ABAKOG,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,C15 H23 I2 N3 O2 Pt1,0.0,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC
